Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
5-4-2	100.00%	100.00%	100.00%	1.0000	0.9999
5-4-6	99.99%	99.99%	99.99%	0.9999	0.9999
5-4-7	100.00%	60.29%	34.40%	1.6560	0.7541
5-4-8	100.00%	100.00%	77.95%	1.2205	0.8479
5-4-9	100.00%	100.00%	82.51%	1.1749	0.7802
5-5-1	100.00%	100.00%	100.00%	1.0000	0.9998
5-5-6	00.38%	00.38%	00.38%	0.0038	0.0617
5-5-8	100.00%	54.36%	45.72%	1.5428	0.7217
5-5-9	100.00%	100.00%	96.06%	1.0394	0.8333
5-6-1	100.00%	100.00%	82.31%	1.1769	0.7819
5-6-2	100.00%	100.00%	100.00%	1.0000	1.0000
5-6-3	100.00%	49.49%	49.49%	1.5051	0.7035
5-6-4	100.00%	100.00%	100.00%	1.0000	0.9998
5-6-5	100.00%	100.00%	100.00%	1.0000	1.0000
5-6-8	100.00%	63.33%	63.33%	1.3667	0.7958
5-7-1	100.00%	100.00%	100.00%	1.0000	0.9931
5-7-4	99.89%	34.69%	34.69%	1.6509	0.5890
5-7-7	100.00%	100.00%	100.00%	1.0000	1.0000
5-7-8	100.00%	52.27%	45.84%	1.5416	0.7131
5-7-10	100.00%	100.00%	100.00%	1.0000	0.9952
5-8-1	100.00%	100.00%	79.95%	1.1002	0.9857
5-8-2	100.00%	100.00%	90.30%	1.0485	0.8030
5-8-3	100.00%	100.00%	100.00%	1.0000	0.9996
5-8-7	100.00%	100.00%	100.00%	1.0000	0.9997
5-8-8	99.83%	99.83%	99.83%	0.9983	0.8652
5-8-9	100.00%	100.00%	94.03%	1.0299	0.8585
5-8-10	100.00%	100.00%	100.00%	1.0000	1.0000
5-9-1	100.00%	100.00%	80.41%	1.2016	0.8132
5-9-4	100.00%	100.00%	90.78%	1.0461	0.9879
5-9-5	00.50%	00.50%	00.50%	0.0050	0.0708
5-9-6	100.00%	100.00%	93.96%	1.0604	0.8592
5-9-7	100.00%	100.00%	100.00%	1.0000	0.8816
5-9-8	100.00%	100.00%	84.53%	1.1547	0.8516
5-9-9	100.00%	100.00%	64.98%	1.3502	0.9486
5-9-10	100.00%	100.00%	100.00%	1.0000	0.9997
5-10-1	100.00%	68.16%	21.95%	1.8365	0.8118
5-10-2	100.00%	93.23%	93.23%	1.0338	0.9652
5-10-3	100.00%	100.00%	100.00%	1.0000	0.9969
5-10-5	100.00%	100.00%	100.00%	1.0000	0.9989
5-10-7	100.00%	98.69%	84.84%	1.0758	0.8347
5-10-8	97.44%	97.40%	97.40%	0.9745	0.9869
6-3-5	100.00%	63.45%	63.45%	1.3655	0.7966
6-3-7	100.00%	100.00%	86.24%	1.1376	0.7855
6-3-9	100.00%	53.62%	53.62%	1.4638	0.7323
6-4-4	100.00%	100.00%	100.00%	1.0000	0.9998
6-4-5	100.00%	63.55%	63.55%	1.3644	0.7972
6-4-6	100.00%	100.00%	100.00%	1.0000	0.9998
6-4-9	100.00%	100.00%	95.84%	1.0416	0.8365
6-5-3	100.00%	100.00%	84.96%	1.1504	0.7967
6-5-4	100.00%	100.00%	100.00%	1.0000	0.9999
6-5-5	100.00%	100.00%	100.00%	1.0000	0.9999
6-5-6	100.00%	63.69%	63.69%	1.3631	0.7980
6-5-7	100.00%	49.70%	49.70%	1.5030	0.7050
6-5-8	100.00%	100.00%	100.00%	1.0000	0.9999
6-6-2	100.00%	100.00%	86.91%	1.1965	0.8336
6-6-4	100.00%	100.00%	100.00%	1.0000	0.9992
6-6-8	100.00%	100.00%	82.41%	1.1759	0.7811
6-7-2	100.00%	100.00%	100.00%	1.0000	0.9998
6-7-3	100.00%	67.93%	26.63%	1.7336	0.8055
6-7-5	100.00%	100.00%	98.98%	1.0102	0.9121
6-7-8	100.00%	100.00%	100.00%	1.0000	0.9996
6-8-6	100.00%	100.00%	100.00%	1.0000	0.9916
6-8-9	100.00%	100.00%	100.00%	1.0000	0.9115
6-8-10	100.00%	100.00%	100.00%	1.0000	0.7071
6-9-1	100.00%	100.00%	100.00%	1.0000	1.0000
6-9-4	100.00%	100.00%	100.00%	1.0000	1.0000
6-9-7	100.00%	100.00%	84.18%	1.1582	0.8538
6-10-2	100.00%	100.00%	100.00%	1.0000	0.9994
6-10-4	100.00%	100.00%	76.42%	1.2358	0.8571
7-3-2	100.00%	100.00%	88.62%	1.1138	0.8189
7-3-3	100.00%	100.00%	96.39%	1.0361	0.8285
7-3-4	100.00%	100.00%	100.00%	1.0000	0.9999
