Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
7-3-8	100.00%	63.40%	63.40%	1.3660	0.7962
7-3-9	100.00%	63.75%	63.75%	1.3626	0.7984
7-3-10	100.00%	100.00%	96.20%	1.0380	0.8314
7-4-6	100.00%	100.00%	98.88%	1.0112	0.9141
7-4-9	100.00%	63.41%	63.41%	1.3659	0.7963
7-4-10	100.00%	100.00%	100.00%	1.0000	0.9999
7-5-2	100.00%	100.00%	77.28%	1.2271	0.8520
7-5-5	100.00%	100.00%	84.72%	1.1528	0.7987
7-5-6	100.00%	100.00%	96.00%	1.0400	0.8342
7-6-1	100.00%	100.00%	99.04%	1.0096	0.9107
7-6-3	100.00%	100.00%	100.00%	1.0000	0.9998
7-6-6	100.00%	100.00%	100.00%	1.0000	0.9999
7-6-7	100.00%	100.00%	96.21%	1.0379	0.8312
7-6-9	100.00%	100.00%	96.14%	1.0386	0.8321
7-7-1	100.00%	100.00%	83.66%	1.1634	0.8569
7-7-5	100.00%	100.00%	100.00%	1.0000	1.0000
7-7-7	100.00%	64.80%	30.33%	1.6967	0.7838
7-8-8	100.00%	100.00%	100.00%	1.0000	0.9998
7-9-1	100.00%	100.00%	82.64%	1.1736	0.7792
7-10-6	100.00%	100.00%	100.00%	1.0000	1.0000
8-3-5	100.00%	63.58%	63.58%	1.3642	0.7974
8-3-6	100.00%	63.44%	63.44%	1.3656	0.7965
8-3-10	100.00%	63.69%	63.69%	1.3631	0.7980
8-4-1	100.00%	100.00%	82.60%	1.1740	0.7795
8-5-9	100.00%	63.29%	63.29%	1.3671	0.7955
8-6-2	100.00%	100.00%	96.35%	1.0365	0.8291
8-7-9	100.00%	100.00%	85.78%	1.1422	0.7896
8-8-8	100.00%	53.61%	53.61%	1.4639	0.7322
9-6-2	100.00%	100.00%	96.00%	1.0400	0.8342
9-6-5	100.00%	100.00%	100.00%	1.0000	0.9998
9-9-6	100.00%	63.20%	63.20%	1.3680	0.7949
10-3-2	100.00%	63.56%	63.56%	1.3644	0.7972
10-7-9	100.00%	63.15%	63.15%	1.3685	0.7947
10-7-10	100.00%	63.41%	63.41%	1.3659	0.7963
10-9-8	100.00%	100.00%	98.93%	1.0107	0.9130
