Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
4-3-1	100.00%	100.00%	100.00%	1.0000	0.9998
4-3-5	100.00%	99.82%	99.82%	1.0009	0.9991
4-3-7	100.00%	68.93%	68.93%	1.3106	0.8303
4-4-4	100.00%	100.00%	100.00%	1.0000	0.9997
4-4-7	100.00%	100.00%	97.95%	1.0205	0.8908
4-4-8	100.00%	100.00%	100.00%	1.0000	0.9999
4-5-1	100.00%	68.87%	68.87%	1.3113	0.8298
4-5-3	100.00%	100.00%	100.00%	1.0000	1.0000
4-5-5	100.00%	100.00%	100.00%	1.0000	0.9998
4-5-7	100.00%	100.00%	100.00%	1.0000	0.9999
4-5-10	100.00%	98.81%	98.81%	1.0119	0.9940
4-6-3	100.00%	98.79%	98.79%	1.0121	0.9939
4-6-5	100.00%	100.00%	71.14%	1.1443	0.9763
4-6-7	100.00%	100.00%	100.00%	1.0000	1.0000
4-6-10	100.00%	100.00%	100.00%	1.0000	1.0000
4-7-2	100.00%	51.70%	51.70%	1.4829	0.7191
4-7-3	100.00%	100.00%	100.00%	1.0000	0.9978
4-7-4	100.00%	100.00%	100.00%	1.0000	1.0000
4-7-5	99.51%	99.51%	99.51%	0.9951	0.9975
4-7-6	100.00%	100.00%	100.00%	1.0000	1.0000
4-7-10	100.00%	100.00%	98.13%	1.0187	0.8878
4-8-2	100.00%	62.40%	62.40%	1.3760	0.7899
4-8-3	100.00%	100.00%	100.00%	1.0000	0.9974
4-8-4	08.79%	08.79%	08.79%	0.0879	0.2964
4-8-6	100.00%	100.00%	100.00%	1.0000	1.0000
4-8-7	100.00%	97.64%	79.16%	1.2084	0.9331
4-8-8	100.00%	100.00%	100.00%	1.0000	1.0000
4-8-9	100.00%	100.00%	100.00%	1.0000	1.0000
4-8-10	100.00%	99.80%	99.80%	1.0010	0.9990
4-9-1	100.00%	97.61%	79.73%	1.2027	0.9304
4-9-2	100.00%	100.00%	89.89%	1.1011	0.8070
4-9-3	100.00%	100.00%	77.18%	1.1141	0.9590
4-9-4	100.00%	100.00%	100.00%	1.0000	1.0000
4-9-5	99.81%	97.51%	79.07%	1.2054	0.9324
4-9-6	100.00%	100.00%	100.00%	1.0000	1.0000
4-9-8	100.00%	100.00%	100.00%	1.0000	0.9999
4-9-9	100.00%	100.00%	100.00%	1.0000	1.0000
4-9-10	100.00%	100.00%	100.00%	1.0000	0.9999
4-10-1	100.00%	100.00%	100.00%	1.0000	1.0000
4-10-2	100.00%	100.00%	100.00%	1.0000	0.9974
4-10-3	100.00%	100.00%	100.00%	1.0000	1.0000
4-10-4	100.00%	100.00%	100.00%	1.0000	1.0000
4-10-5	00.00%	00.00%	00.00%	0.0000	0.0000
4-10-6	99.64%	51.27%	51.27%	1.4802	0.7160
4-10-7	100.00%	100.00%	100.00%	1.0000	1.0000
4-10-8	100.00%	51.34%	51.34%	1.4866	0.7165
4-10-9	100.00%	100.00%	100.00%	1.0000	0.9998
5-3-3	100.00%	100.00%	97.95%	1.0205	0.8907
5-3-6	100.00%	68.88%	68.88%	1.3112	0.8299
5-3-7	100.00%	100.00%	89.22%	1.1078	0.8134
5-4-1	100.00%	68.87%	68.87%	1.3113	0.8299
5-5-2	100.00%	100.00%	100.00%	1.0000	0.9999
5-5-5	100.00%	100.00%	100.00%	1.0000	0.9999
5-6-7	100.00%	100.00%	100.00%	1.0000	1.0000
5-6-9	100.00%	100.00%	100.00%	1.0000	1.0000
5-6-10	100.00%	100.00%	100.00%	1.0000	0.9997
5-7-2	100.00%	100.00%	100.00%	1.0000	0.9999
5-7-3	100.00%	98.22%	54.90%	1.4524	0.9405
5-7-9	100.00%	62.27%	62.27%	1.3773	0.7891
5-8-4	100.00%	68.73%	68.73%	1.3127	0.8290
5-8-5	100.00%	100.00%	100.00%	1.0000	0.9999
5-8-6	100.00%	100.00%	100.00%	1.0000	0.9999
5-10-4	100.00%	100.00%	100.00%	1.0000	1.0000
5-10-6	100.00%	100.00%	100.00%	1.0000	0.9998
5-10-9	100.00%	100.00%	100.00%	1.0000	1.0000
5-10-10	100.00%	100.00%	100.00%	1.0000	0.9999
6-3-6	100.00%	55.64%	55.64%	1.4436	0.7459
6-4-3	100.00%	51.53%	51.53%	1.4846	0.7179
6-4-7	100.00%	68.83%	68.83%	1.3116	0.8296
6-6-5	100.00%	100.00%	97.84%	1.0216	0.8924
6-7-9	100.00%	100.00%	100.00%	1.0000	0.9999
7-3-1	100.00%	51.52%	51.52%	1.4848	0.7177
7-3-5	100.00%	68.77%	68.77%	1.3123	0.8293
7-5-3	100.00%	62.42%	62.42%	1.3758	0.7901
7-5-4	100.00%	100.00%	100.00%	1.0000	0.9998
7-6-10	100.00%	100.00%	100.00%	1.0000	0.9999
7-7-3	100.00%	98.80%	98.80%	1.0120	0.9940
8-4-5	100.00%	68.87%	68.87%	1.3113	0.8299
8-4-6	100.00%	68.75%	68.75%	1.3125	0.8292
8-6-3	100.00%	98.75%	98.75%	1.0125	0.9937
8-6-8	100.00%	100.00%	100.00%	1.0000	0.9998
9-3-3	100.00%	68.75%	68.75%	1.3125	0.8291
9-4-8	100.00%	68.79%	68.79%	1.3121	0.8294
9-5-7	100.00%	68.77%	68.77%	1.3123	0.8293
10-3-1	100.00%	68.83%	68.83%	1.3117	0.8296
10-4-8	100.00%	68.69%	68.69%	1.3130	0.8288
