Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
7-4-8	100.00%	100.00%	100.00%	1.0000	0.9999
7-6-2	100.00%	100.00%	100.00%	1.0000	0.9256
7-6-4	100.00%	100.00%	61.27%	1.3873	0.8475
7-6-5	100.00%	100.00%	91.16%	1.0994	0.6325
7-7-2	100.00%	100.00%	100.00%	1.0000	0.9998
7-7-4	99.22%	99.22%	99.22%	0.9922	0.9961
7-7-6	100.00%	100.00%	63.59%	1.3641	0.8459
7-7-8	100.00%	100.00%	100.00%	1.0000	0.9942
7-7-10	100.00%	100.00%	89.34%	1.1066	0.7553
7-8-1	100.00%	100.00%	97.72%	1.0114	0.8939
7-8-2	100.00%	100.00%	100.00%	1.0000	0.9998
7-8-5	100.00%	100.00%	96.48%	1.0176	0.5907
7-8-6	100.00%	40.30%	40.30%	1.5970	0.6348
7-8-9	100.00%	100.00%	96.22%	1.0378	0.8818
7-9-2	100.00%	100.00%	100.00%	1.0000	0.7744
7-9-6	100.00%	100.00%	81.82%	1.0909	0.7588
7-9-10	100.00%	100.00%	100.00%	1.0000	1.0000
7-10-1	100.00%	100.00%	69.86%	1.3014	0.8236
7-10-2	100.00%	100.00%	100.00%	1.0000	0.9874
7-10-3	100.00%	100.00%	74.67%	1.1267	0.9864
7-10-4	100.00%	100.00%	100.00%	1.0000	1.0000
7-10-5	100.00%	100.00%	94.31%	1.0285	0.8553
7-10-7	100.00%	100.00%	100.00%	1.0000	0.9994
7-10-8	100.00%	100.00%	100.00%	1.0000	0.9999
7-10-10	100.00%	100.00%	89.43%	1.0529	0.8945
8-4-7	100.00%	38.10%	38.10%	1.6189	0.6173
8-5-6	100.00%	100.00%	85.91%	1.1529	0.6251
8-6-1	100.00%	42.54%	42.54%	1.5746	0.6523
8-6-5	100.00%	100.00%	69.82%	1.3018	0.8090
8-6-6	100.00%	100.00%	76.52%	1.2348	0.7995
8-7-2	100.00%	100.00%	100.00%	1.0000	0.9971
8-7-4	100.00%	100.00%	83.00%	1.0850	0.8616
8-7-7	100.00%	100.00%	65.10%	1.3490	0.8377
8-8-2	100.00%	100.00%	93.14%	1.0686	0.7710
8-8-9	100.00%	100.00%	98.57%	1.0071	0.9195
8-10-1	100.00%	100.00%	58.99%	1.4698	0.8259
8-10-2	100.00%	100.00%	92.29%	1.0771	0.7813
8-10-7	100.00%	100.00%	72.08%	1.1396	0.9739
8-10-10	100.00%	100.00%	56.46%	1.8709	0.7529
9-3-1	100.00%	100.00%	89.59%	1.1041	0.7525
9-3-7	100.00%	100.00%	78.63%	1.2137	0.7839
9-3-9	100.00%	100.00%	92.85%	1.0715	0.7745
9-4-6	100.00%	100.00%	76.45%	1.1178	0.7797
9-4-9	100.00%	100.00%	96.83%	1.0317	0.8216
9-5-1	100.00%	40.22%	40.22%	1.5978	0.6342
9-5-2	100.00%	100.00%	99.55%	1.0045	0.9380
9-6-1	100.00%	100.00%	100.00%	1.0000	0.9998
9-7-4	100.00%	100.00%	73.29%	1.2671	0.7725
9-7-5	100.00%	100.00%	79.38%	1.2102	0.7102
9-7-7	100.00%	100.00%	100.00%	1.0000	0.9998
9-7-8	100.00%	100.00%	100.00%	1.0000	0.9995
9-8-10	100.00%	100.00%	96.63%	1.0168	0.8760
9-9-3	100.00%	95.49%	95.49%	1.0225	0.9769
9-9-4	100.00%	100.00%	89.95%	1.1005	0.7487
9-9-7	100.00%	100.00%	86.01%	1.1399	0.8104
9-9-8	100.00%	100.00%	98.89%	1.0056	0.9135
10-3-3	100.00%	100.00%	96.93%	1.0307	0.8199
10-3-4	100.00%	55.13%	55.13%	1.4487	0.7425
10-3-5	100.00%	100.00%	96.16%	1.0384	0.7900
10-3-6	100.00%	55.37%	55.37%	1.4463	0.7441
10-4-2	100.00%	100.00%	98.55%	1.0145	0.8801
10-6-5	100.00%	100.00%	72.02%	1.2798	0.7815
10-6-10	100.00%	100.00%	95.86%	1.0414	0.7945
10-7-8	100.00%	100.00%	93.19%	1.0681	0.7704
10-8-3	100.00%	100.00%	93.13%	1.0687	0.7711
10-10-5	100.00%	100.00%	85.59%	1.1735	0.6580
