Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
3-3-4	100.00%	98.53%	98.53%	1.0147	0.9926
3-3-7	100.00%	100.00%	93.67%	1.0633	0.8623
3-4-2	100.00%	100.00%	100.00%	1.0000	1.0000
3-4-3	100.00%	100.00%	100.00%	1.0000	0.9999
3-4-5	100.00%	98.47%	98.47%	1.0153	0.9923
3-4-6	100.00%	98.55%	98.55%	1.0145	0.9927
3-4-8	100.00%	100.00%	100.00%	1.0000	1.0000
3-4-10	100.00%	99.01%	99.01%	1.0099	0.9950
3-5-1	100.00%	100.00%	100.00%	1.0000	0.9999
3-5-3	100.00%	86.28%	86.28%	1.0686	0.9288
3-5-4	100.00%	100.00%	100.00%	1.0000	1.0000
3-5-5	100.00%	100.00%	100.00%	1.0000	1.0000
3-5-6	100.00%	100.00%	100.00%	1.0000	0.9999
3-5-7	100.00%	100.00%	93.69%	1.0631	0.8620
3-5-8	100.00%	72.30%	51.48%	1.4852	0.8300
3-5-9	100.00%	100.00%	100.00%	1.0000	0.9999
3-5-10	100.00%	100.00%	100.00%	1.0000	1.0000
3-6-1	100.00%	100.00%	100.00%	1.0000	1.0000
3-6-2	100.00%	100.00%	100.00%	1.0000	1.0000
3-6-3	100.00%	99.01%	99.01%	1.0099	0.9950
3-6-4	100.00%	100.00%	100.00%	1.0000	0.9999
3-6-5	100.00%	100.00%	100.00%	1.0000	1.0000
3-6-7	100.00%	72.51%	51.76%	1.4824	0.8308
3-6-8	100.00%	100.00%	100.00%	1.0000	1.0000
3-6-9	100.00%	100.00%	100.00%	1.0000	0.9999
3-6-10	100.00%	100.00%	100.00%	1.0000	1.0000
3-7-1	100.00%	100.00%	100.00%	1.0000	1.0000
3-7-2	100.00%	100.00%	100.00%	1.0000	0.9999
3-7-3	100.00%	97.97%	97.97%	1.0203	0.9898
3-7-4	100.00%	100.00%	100.00%	1.0000	0.9999
3-7-6	100.00%	100.00%	100.00%	1.0000	1.0000
3-7-9	100.00%	100.00%	100.00%	1.0000	1.0000
3-7-10	99.99%	99.99%	99.99%	0.9999	1.0000
3-8-1	100.00%	98.01%	98.01%	1.0199	0.9900
