Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
3-8-2	100.00%	100.00%	100.00%	1.0000	0.9999
3-8-3	100.00%	100.00%	100.00%	1.0000	1.0000
3-8-4	100.00%	100.00%	100.00%	1.0000	1.0000
3-8-5	100.00%	100.00%	100.00%	1.0000	1.0000
3-8-6	100.00%	100.00%	100.00%	1.0000	1.0000
3-8-7	100.00%	100.00%	100.00%	1.0000	1.0000
3-8-8	100.00%	86.28%	86.28%	1.0686	0.9289
3-8-9	100.00%	72.63%	51.85%	1.4815	0.8315
3-9-1	100.00%	65.22%	65.22%	1.3478	0.8076
3-9-2	100.00%	100.00%	100.00%	1.0000	1.0000
3-9-3	100.00%	100.00%	100.00%	1.0000	1.0000
3-9-4	99.83%	65.25%	65.25%	1.3441	0.8078
3-9-5	100.00%	65.67%	65.67%	1.3433	0.8104
3-9-6	100.00%	86.08%	86.08%	1.0696	0.9278
3-9-7	100.00%	100.00%	100.00%	1.0000	1.0000
3-9-8	100.00%	85.43%	85.43%	1.0728	0.9243
3-9-9	100.00%	100.00%	100.00%	1.0000	0.9999
3-9-10	100.00%	100.00%	100.00%	1.0000	1.0000
3-10-1	100.00%	100.00%	100.00%	1.0000	1.0000
3-10-2	100.00%	100.00%	100.00%	1.0000	1.0000
3-10-3	100.00%	100.00%	100.00%	1.0000	1.0000
3-10-4	100.00%	100.00%	100.00%	1.0000	1.0000
3-10-5	100.00%	61.18%	61.18%	1.3882	0.7822
3-10-6	100.00%	65.13%	65.13%	1.3487	0.8070
3-10-7	98.68%	98.68%	98.68%	0.9868	0.9934
3-10-8	100.00%	100.00%	100.00%	1.0000	0.9999
3-10-9	98.80%	98.80%	98.80%	0.9880	0.9940
3-10-10	13.94%	13.94%	13.94%	0.1394	0.3733
4-3-2	100.00%	98.07%	98.07%	1.0193	0.9903
4-3-3	100.00%	98.99%	98.99%	1.0101	0.9949
4-3-9	100.00%	100.00%	94.28%	1.0572	0.8557
4-3-10	100.00%	99.66%	99.66%	1.0034	0.9983
4-4-3	100.00%	73.07%	51.79%	1.4821	0.8350
4-4-5	100.00%	100.00%	100.00%	1.0000	1.0000
4-4-10	100.00%	98.07%	98.07%	1.0193	0.9903
4-5-2	100.00%	99.66%	99.66%	1.0034	0.9983
4-5-6	100.00%	98.51%	98.51%	1.0149	0.9925
4-6-1	100.00%	100.00%	100.00%	1.0000	1.0000
4-6-2	100.00%	100.00%	100.00%	1.0000	1.0000
4-6-4	100.00%	100.00%	100.00%	1.0000	0.9999
4-6-6	100.00%	100.00%	100.00%	1.0000	0.9999
4-6-9	100.00%	86.19%	86.19%	1.0690	0.9284
4-7-1	100.00%	100.00%	100.00%	1.0000	1.0000
4-7-7	100.00%	100.00%	100.00%	1.0000	1.0000
4-7-8	99.99%	99.99%	99.99%	0.9999	1.0000
4-8-1	100.00%	100.00%	100.00%	1.0000	0.9999
4-9-7	100.00%	100.00%	100.00%	1.0000	1.0000
4-10-10	100.00%	98.52%	98.52%	1.0148	0.9926
5-3-4	100.00%	98.45%	98.45%	1.0155	0.9922
5-4-5	100.00%	98.54%	98.54%	1.0146	0.9927
5-5-7	100.00%	99.68%	99.68%	1.0032	0.9984
5-7-6	100.00%	98.53%	98.53%	1.0147	0.9926
5-9-2	100.00%	98.51%	98.51%	1.0149	0.9925
6-3-2	100.00%	99.65%	99.65%	1.0035	0.9982
6-3-10	100.00%	99.01%	99.01%	1.0099	0.9950
6-4-10	100.00%	99.68%	99.68%	1.0032	0.9984
6-8-4	100.00%	100.00%	100.00%	1.0000	1.0000
7-9-4	100.00%	99.68%	99.68%	1.0032	0.9984
7-9-9	100.00%	98.04%	98.04%	1.0196	0.9902
8-3-4	100.00%	99.70%	99.70%	1.0030	0.9985
8-3-8	100.00%	99.65%	99.65%	1.0035	0.9982
9-3-8	100.00%	99.67%	99.67%	1.0033	0.9983
9-4-5	100.00%	99.64%	99.64%	1.0036	0.9982
9-5-5	100.00%	99.65%	99.65%	1.0035	0.9983
10-5-2	100.00%	99.69%	99.69%	1.0031	0.9984
10-6-8	100.00%	99.68%	99.68%	1.0032	0.9984
