Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
6-3-3	100.00%	100.00%	82.79%	1.1721	0.7779
6-4-2	100.00%	54.83%	54.83%	1.4517	0.7404
6-5-1	100.00%	100.00%	77.69%	1.2231	0.8492
6-5-2	100.00%	100.00%	100.00%	1.0000	1.0000
6-5-9	100.00%	100.00%	98.03%	1.0197	0.8557
6-6-1	100.00%	100.00%	100.00%	1.0000	1.0000
6-6-3	100.00%	54.13%	30.59%	1.6940	0.7155
6-6-6	100.00%	100.00%	100.00%	1.0000	0.9998
6-6-7	100.00%	100.00%	100.00%	1.0000	0.8944
6-6-9	100.00%	100.00%	100.00%	1.0000	1.0000
6-6-10	100.00%	100.00%	69.17%	1.3083	0.8456
6-7-1	100.00%	100.00%	100.00%	1.0000	0.9999
6-7-4	100.00%	100.00%	100.00%	1.0000	0.9997
6-7-6	100.00%	100.00%	100.00%	1.0000	0.9998
6-7-7	100.00%	100.00%	80.32%	1.1968	0.7975
6-7-10	100.00%	100.00%	84.31%	1.0785	0.9211
6-8-1	100.00%	100.00%	79.00%	1.1050	0.9525
6-8-2	100.00%	100.00%	98.76%	1.0062	0.9384
6-8-3	100.00%	100.00%	78.67%	1.2133	0.8097
6-8-5	100.00%	100.00%	97.85%	1.0215	0.8589
6-8-7	100.00%	100.00%	71.89%	1.2811	0.8529
6-8-8	100.00%	100.00%	42.83%	1.2858	0.9950
6-9-2	100.00%	100.00%	75.53%	1.1224	0.6979
6-9-3	100.00%	100.00%	100.00%	1.0000	0.9897
6-9-5	100.00%	100.00%	76.24%	1.2376	0.8584
6-9-6	100.00%	100.00%	100.00%	1.0000	1.0000
6-9-8	100.00%	100.00%	82.22%	1.0889	0.8989
6-9-9	100.00%	100.00%	100.00%	1.0000	1.0000
6-9-10	100.00%	74.27%	74.27%	1.1286	0.7708
6-10-1	100.00%	100.00%	100.00%	1.0000	0.8127
6-10-3	100.00%	100.00%	100.00%	1.0000	0.9997
6-10-5	100.00%	100.00%	100.00%	1.0000	0.9999
6-10-6	100.00%	100.00%	97.75%	1.0112	0.9303
6-10-7	100.00%	100.00%	100.00%	1.0000	0.8652
6-10-8	100.00%	100.00%	81.82%	1.0909	0.9013
6-10-9	100.00%	61.63%	22.75%	1.8278	0.7710
6-10-10	100.00%	100.00%	99.28%	1.0036	0.9437
7-4-2	100.00%	100.00%	75.96%	1.2404	0.7832
7-4-3	100.00%	100.00%	92.17%	1.0783	0.7828
7-4-4	100.00%	100.00%	59.65%	1.4035	0.8795
7-4-5	100.00%	100.00%	75.24%	1.2476	0.7885
7-5-1	100.00%	100.00%	92.96%	1.0704	0.7732
7-5-8	100.00%	100.00%	99.90%	1.0010	0.8809
7-5-9	100.00%	100.00%	100.00%	1.0000	0.9999
7-5-10	100.00%	53.79%	34.40%	1.6560	0.7121
7-6-8	100.00%	100.00%	88.59%	1.1141	0.8177
7-7-9	100.00%	100.00%	92.50%	1.0750	0.7788
7-8-3	100.00%	92.59%	92.59%	1.0371	0.9620
7-8-4	100.00%	100.00%	100.00%	1.0000	0.9995
7-8-7	100.00%	100.00%	100.00%	1.0000	0.9976
7-8-10	100.00%	100.00%	80.82%	1.1918	0.7936
7-9-3	100.00%	100.00%	100.00%	1.0000	1.0000
7-9-5	100.00%	100.00%	96.59%	1.0170	0.9089
7-9-7	100.00%	100.00%	77.35%	1.1132	0.8511
7-9-8	100.00%	100.00%	88.71%	1.1151	0.7294
7-10-9	100.00%	100.00%	100.00%	1.0000	0.9999
8-3-1	100.00%	58.99%	58.99%	1.4101	0.7680
8-3-9	100.00%	100.00%	92.92%	1.0708	0.7738
8-4-4	100.00%	100.00%	91.99%	1.0875	0.6750
8-4-8	100.00%	100.00%	92.24%	1.0776	0.7818
8-4-10	100.00%	100.00%	96.05%	1.0395	0.8335
8-5-1	100.00%	100.00%	68.66%	1.3135	0.8488
8-5-3	100.00%	100.00%	81.94%	1.1973	0.7410
8-5-10	100.00%	100.00%	97.62%	1.0248	0.7896
8-6-7	100.00%	100.00%	97.85%	1.0215	0.8589
8-6-9	100.00%	100.00%	77.23%	1.2277	0.7739
8-7-1	100.00%	100.00%	75.40%	1.2460	0.7873
8-7-5	100.00%	100.00%	66.95%	1.3305	0.8408
8-7-8	100.00%	59.13%	59.13%	1.4087	0.7689
8-7-10	100.00%	100.00%	97.80%	1.0220	0.8597
8-9-2	100.00%	100.00%	100.00%	1.0000	0.9921
8-10-3	100.00%	100.00%	100.00%	1.0000	0.9177
9-3-2	100.00%	100.00%	75.69%	1.2431	0.7852
9-4-7	100.00%	100.00%	100.00%	1.0000	0.9997
9-5-4	100.00%	100.00%	93.68%	1.0632	0.8612
9-6-6	100.00%	100.00%	100.00%	1.0000	0.9999
9-6-8	100.00%	100.00%	93.02%	1.0698	0.7725
9-10-4	100.00%	100.00%	76.76%	1.2324	0.7773
9-10-5	100.00%	44.57%	44.57%	1.5543	0.6676
10-4-3	100.00%	100.00%	75.80%	1.2420	0.7844
10-4-6	100.00%	50.79%	50.79%	1.4921	0.7127
10-4-10	100.00%	100.00%	100.00%	1.0000	0.9998
10-5-1	100.00%	100.00%	77.34%	1.2266	0.7731
10-5-8	100.00%	58.85%	58.85%	1.4115	0.7671
