Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
8-3-2	100.00%	100.00%	94.38%	1.0562	0.7544
8-3-3	100.00%	100.00%	94.24%	1.0576	0.7563
8-4-2	100.00%	100.00%	68.77%	1.3123	0.7828
8-5-2	100.00%	100.00%	100.00%	1.0000	0.9997
8-5-4	100.00%	100.00%	62.58%	1.3742	0.8304
8-5-7	100.00%	100.00%	100.00%	1.0000	0.9998
8-5-8	100.00%	100.00%	99.01%	1.0050	0.9336
8-6-4	100.00%	100.00%	74.94%	1.1253	0.7498
8-6-10	100.00%	100.00%	57.40%	1.4292	0.8020
8-7-3	100.00%	100.00%	99.62%	1.0019	0.9759
8-7-6	100.00%	100.00%	95.49%	1.0225	0.9324
8-8-1	100.00%	100.00%	84.09%	1.0795	0.7948
8-8-3	100.00%	66.57%	18.17%	1.8183	0.7980
8-8-4	100.00%	100.00%	73.82%	1.2618	0.8402
8-8-5	100.00%	100.00%	97.40%	1.0130	0.6344
8-8-6	100.00%	100.00%	46.53%	1.2673	0.9235
8-8-7	100.00%	100.00%	98.67%	1.0067	0.7489
8-8-10	100.00%	100.00%	100.00%	1.0000	0.9998
8-9-1	100.00%	100.00%	77.31%	1.2269	0.8519
8-9-3	100.00%	100.00%	80.72%	1.0964	0.8291
8-9-4	100.00%	100.00%	100.00%	1.0000	0.9906
8-9-5	100.00%	100.00%	63.27%	1.1837	0.7726
8-9-6	99.80%	99.80%	92.85%	1.0328	0.9122
8-9-7	100.00%	85.53%	80.38%	1.0981	0.7968
8-9-8	100.00%	100.00%	100.00%	1.0000	1.0000
8-9-9	100.00%	56.78%	23.79%	1.7622	0.7318
8-9-10	100.00%	100.00%	60.53%	1.3947	0.8420
8-10-4	100.00%	100.00%	99.46%	1.0027	0.9458
8-10-5	100.00%	100.00%	92.09%	1.0395	0.5911
8-10-6	99.27%	99.27%	99.27%	0.9927	0.5752
8-10-8	100.00%	100.00%	100.00%	1.0000	0.6272
8-10-9	100.00%	100.00%	89.32%	1.0534	0.8130
9-4-2	100.00%	100.00%	91.86%	1.0814	0.7851
9-4-3	100.00%	100.00%	73.21%	1.2709	0.7365
9-4-4	100.00%	100.00%	100.00%	1.0000	0.9997
9-4-10	100.00%	100.00%	86.45%	1.1355	0.7829
9-5-6	100.00%	100.00%	64.70%	1.3530	0.7938
9-5-8	100.00%	100.00%	100.00%	1.0000	0.9999
9-5-9	100.00%	100.00%	97.22%	1.0140	0.8596
9-6-7	100.00%	100.00%	100.00%	1.0000	0.9989
9-7-9	100.00%	100.00%	99.09%	1.0045	0.9468
9-8-5	100.00%	100.00%	99.31%	1.0034	0.9723
9-8-6	100.00%	100.00%	93.65%	1.0635	0.8618
9-8-7	100.00%	100.00%	67.52%	1.1624	0.7919
9-9-5	100.00%	100.00%	62.72%	1.3838	0.7813
9-9-9	100.00%	100.00%	36.19%	1.6600	0.7876
9-10-6	100.00%	100.00%	100.00%	1.0000	0.9997
10-3-8	100.00%	100.00%	94.46%	1.0554	0.7532
10-3-9	100.00%	100.00%	76.98%	1.2302	0.7757
10-4-1	100.00%	100.00%	99.14%	1.0086	0.8909
10-4-4	100.00%	100.00%	95.32%	1.0468	0.8433
10-4-7	100.00%	100.00%	94.18%	1.0583	0.7572
10-5-7	100.00%	100.00%	85.84%	1.1416	0.7352
10-6-7	100.00%	100.00%	94.61%	1.0269	0.8266
10-7-4	100.00%	100.00%	100.00%	1.0000	0.9993
10-9-3	100.00%	100.00%	69.62%	1.3038	0.7770
10-9-5	100.00%	100.00%	90.12%	1.0494	0.6233
