Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
10-5-4	100.00%	100.00%	100.00%	1.0000	0.9831
10-5-9	100.00%	100.00%	82.05%	1.2007	0.5501
10-6-1	100.00%	100.00%	51.37%	1.4863	0.8540
10-6-6	100.00%	100.00%	97.84%	1.0108	0.7646
10-7-1	100.00%	100.00%	64.37%	1.3862	0.8416
10-7-2	100.00%	100.00%	62.11%	1.3789	0.8329
10-7-3	100.00%	100.00%	91.57%	1.0421	0.8390
10-7-5	100.00%	100.00%	96.25%	1.0188	0.9438
10-7-6	100.00%	100.00%	98.58%	1.0071	0.9182
10-7-7	100.00%	100.00%	54.98%	1.4567	0.7757
10-8-2	100.00%	100.00%	52.01%	1.4896	0.7810
10-8-4	100.00%	100.00%	76.94%	1.1153	0.6597
10-8-6	100.00%	100.00%	52.20%	1.4780	0.8041
10-8-7	99.81%	99.81%	99.81%	0.9981	0.9910
10-8-8	100.00%	100.00%	52.96%	1.4805	0.7561
10-9-1	100.00%	100.00%	32.37%	1.7253	0.7303
10-9-2	100.00%	100.00%	99.57%	1.0021	0.9447
10-9-4	100.00%	100.00%	99.60%	1.0020	0.9544
10-9-6	100.00%	100.00%	66.30%	1.3404	0.7699
10-9-7	100.00%	100.00%	60.79%	1.1961	0.6273
10-9-9	100.00%	100.00%	91.18%	1.0441	0.6907
10-9-10	100.00%	100.00%	54.33%	1.4770	0.8005
10-10-2	100.00%	100.00%	79.53%	1.2159	0.5978
10-10-3	100.00%	100.00%	83.89%	1.0817	0.7048
10-10-4	100.00%	100.00%	66.73%	1.1664	0.7146
10-10-6	100.00%	100.00%	54.93%	1.2253	0.7088
10-10-7	100.00%	100.00%	99.44%	1.0028	0.9441
10-10-8	100.00%	100.00%	72.27%	1.1387	0.6212
10-10-9	100.00%	100.00%	92.95%	1.0353	0.6749
