Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
3-3-3	99.02%	99.02%	99.02%	0.9902	0.9951
3-3-5	99.05%	99.05%	99.05%	0.9905	0.9952
3-3-6	99.01%	99.01%	99.01%	0.9901	0.9950
3-4-4	99.02%	99.02%	99.02%	0.9902	0.9951
3-5-2	99.06%	99.06%	99.06%	0.9907	0.9953
4-4-6	98.99%	98.99%	98.99%	0.9899	0.9949
4-7-9	98.97%	98.97%	98.97%	0.9897	0.9949
5-3-2	99.00%	99.00%	99.00%	0.9900	0.9950
5-5-10	99.02%	99.02%	99.02%	0.9902	0.9951
5-9-3	98.98%	98.98%	98.98%	0.9898	0.9949
6-3-8	98.98%	98.98%	98.98%	0.9898	0.9949
6-5-10	99.04%	99.04%	99.04%	0.9904	0.9952
8-5-5	99.00%	99.00%	99.00%	0.9900	0.9950
3-3-3	98.99%	98.99%	98.99%	0.9899	0.9899
3-3-5	99.00%	99.00%	99.00%	0.9900	0.9900
3-3-6	99.02%	99.02%	99.02%	0.9902	0.9903
3-4-4	99.03%	99.03%	99.03%	0.9903	0.9903
3-5-2	99.07%	99.07%	99.07%	0.9907	0.9907
4-4-6	98.97%	98.97%	98.97%	0.9897	0.9897
4-7-9	98.97%	98.97%	98.97%	0.9897	0.9897
5-3-2	99.01%	99.01%	99.01%	0.9901	0.9901
5-5-10	98.98%	98.98%	98.98%	0.9899	0.9899
5-9-3	98.97%	98.97%	98.97%	0.9897	0.9897
6-3-8	99.05%	99.05%	99.05%	0.9905	0.9904
6-5-10	99.00%	99.00%	99.00%	0.9900	0.9900
8-5-5	99.05%	99.05%	99.05%	0.9905	0.9905
