Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
7-3-1	100.00%	51.31%	51.31%	1.4869	0.7163
7-3-5	100.00%	68.75%	68.75%	1.3125	0.8291
7-5-3	100.00%	62.48%	62.48%	1.3752	0.7904
7-5-4	100.00%	100.00%	100.00%	1.0000	0.9999
7-6-10	100.00%	100.00%	100.00%	1.0000	0.9999
7-7-3	100.00%	98.74%	98.74%	1.0126	0.9937
8-4-5	100.00%	68.80%	68.80%	1.3120	0.8295
8-4-6	100.00%	68.77%	68.77%	1.3123	0.8293
8-6-3	100.00%	98.74%	98.74%	1.0126	0.9937
8-6-8	100.00%	100.00%	100.00%	1.0000	0.9999
9-3-3	100.00%	69.13%	69.13%	1.3087	0.8315
9-4-8	100.00%	68.77%	68.77%	1.3123	0.8293
9-5-7	100.00%	68.65%	68.65%	1.3134	0.8286
10-3-1	100.00%	68.68%	68.68%	1.3132	0.8287
10-4-8	100.00%	69.04%	69.04%	1.3096	0.8309
4-3-1	100.00%	99.77%	99.77%	1.0011	0.9977
4-3-5	100.00%	99.78%	99.78%	1.0011	0.9978
4-3-7	100.00%	68.77%	68.77%	1.3122	0.6877
4-4-4	100.00%	99.07%	99.07%	1.0047	0.9906
4-4-7	100.00%	99.38%	98.69%	1.0131	0.7379
4-4-8	100.00%	99.65%	99.65%	1.0017	0.9965
4-5-1	100.00%	68.93%	68.93%	1.3107	0.6893
4-5-3	100.00%	99.04%	99.04%	1.0048	0.9904
4-5-5	100.00%	98.96%	98.96%	1.0052	0.9895
4-5-7	100.00%	99.77%	99.77%	1.0012	0.9976
4-5-10	100.00%	98.79%	98.79%	1.0121	0.9879
4-6-3	100.00%	98.80%	98.80%	1.0120	0.9880
4-6-5	100.00%	84.59%	58.12%	1.2094	0.8152
4-6-7	100.00%	76.22%	76.22%	1.0792	0.7622
4-6-10	100.00%	100.00%	100.00%	1.0000	1.0000
4-7-2	100.00%	51.32%	51.32%	1.4867	0.5132
4-7-3	100.00%	99.48%	99.48%	1.0026	0.9911
4-7-4	100.00%	100.00%	100.00%	1.0000	1.0000
4-7-5	99.47%	99.47%	99.47%	0.9947	0.9946
4-7-6	100.00%	98.52%	98.52%	1.0149	0.9851
4-7-10	100.00%	99.39%	98.70%	1.0130	0.7378
4-8-2	100.00%	62.49%	62.49%	1.3751	0.6249
4-8-3	100.00%	89.55%	89.55%	1.0522	0.8940
4-8-4	08.65%	08.65%	08.65%	0.0865	0.0865
4-8-6	100.00%	100.00%	100.00%	1.0000	1.0000
4-8-7	100.00%	97.65%	79.05%	1.2095	0.8718
4-8-8	100.00%	100.00%	100.00%	1.0000	1.0000
4-8-9	100.00%	99.99%	99.99%	1.0000	0.9999
4-8-10	100.00%	99.79%	99.79%	1.0011	0.9979
4-9-1	100.00%	98.81%	80.81%	1.1919	0.8754
4-9-2	100.00%	98.62%	94.42%	1.0561	0.5303
4-9-3	100.00%	72.53%	51.36%	1.2432	0.6924
4-9-4	100.00%	100.00%	100.00%	1.0000	1.0000
4-9-5	99.81%	97.36%	78.82%	1.2080	0.8691
4-9-6	100.00%	97.98%	97.98%	1.0101	0.9799
4-9-8	100.00%	98.58%	98.58%	1.0071	0.9858
4-9-9	100.00%	98.97%	98.97%	1.0052	0.9897
4-9-10	100.00%	99.54%	99.54%	1.0023	0.9953
4-10-1	100.00%	100.00%	100.00%	1.0000	0.9999
4-10-2	100.00%	87.99%	87.99%	1.0600	0.8790
4-10-3	100.00%	100.00%	100.00%	1.0000	1.0000
4-10-4	100.00%	100.00%	100.00%	1.0000	0.9999
4-10-5	12.30%	09.30%	09.30%	0.1330	0.0930
4-10-6	99.64%	51.14%	51.14%	1.4814	0.5114
4-10-7	100.00%	100.00%	100.00%	1.0000	1.0000
4-10-8	100.00%	51.30%	51.30%	1.4870	0.5130
4-10-9	100.00%	99.03%	99.03%	1.0048	0.9903
5-3-3	100.00%	99.38%	98.72%	1.0128	0.7366
5-3-6	100.00%	68.91%	68.91%	1.3110	0.6890
5-3-7	100.00%	98.60%	94.41%	1.0560	0.5300
5-4-1	100.00%	69.12%	69.12%	1.3088	0.6912
5-5-2	100.00%	85.61%	85.61%	1.0719	0.8561
5-5-5	100.00%	88.40%	88.40%	1.0386	0.8840
5-6-7	100.00%	99.00%	99.00%	1.0050	0.9900
5-6-9	100.00%	98.50%	98.50%	1.0075	0.9850
5-6-10	100.00%	99.04%	99.04%	1.0048	0.9904
5-7-2	100.00%	99.55%	99.55%	1.0022	0.9955
5-7-3	100.00%	99.56%	56.29%	1.4374	0.8927
5-7-9	100.00%	62.43%	62.43%	1.3757	0.6243
5-8-4	100.00%	68.87%	68.87%	1.3113	0.6887
5-8-5	100.00%	81.00%	81.00%	1.1003	0.8100
5-8-6	100.00%	99.62%	99.62%	1.0019	0.9962
5-10-4	100.00%	80.66%	80.66%	1.0967	0.8066
5-10-6	100.00%	69.13%	69.13%	1.1650	0.6913
5-10-9	100.00%	100.00%	100.00%	1.0000	1.0000
5-10-10	100.00%	88.44%	88.44%	1.0385	0.8844
6-3-6	100.00%	60.33%	60.33%	1.3967	0.6033
6-4-3	100.00%	51.65%	51.65%	1.4834	0.5165
6-4-7	100.00%	68.64%	68.64%	1.3136	0.6863
6-6-5	100.00%	99.39%	98.80%	1.0120	0.7332
6-7-9	100.00%	80.70%	80.70%	1.1016	0.8070
7-3-1	100.00%	51.62%	51.62%	1.4838	0.5162
7-3-5	100.00%	68.76%	68.76%	1.3124	0.6876
7-5-3	100.00%	62.39%	62.39%	1.3761	0.6239
7-5-4	100.00%	80.91%	80.91%	1.1006	0.8091
7-6-10	100.00%	99.65%	99.65%	1.0018	0.9965
7-7-3	100.00%	98.73%	98.73%	1.0127	0.9873
8-4-5	100.00%	68.52%	68.52%	1.3148	0.6852
8-4-6	100.00%	68.62%	68.62%	1.3139	0.6861
8-6-3	100.00%	98.77%	98.77%	1.0123	0.9877
8-6-8	100.00%	80.88%	80.88%	1.1008	0.8088
9-3-3	100.00%	68.89%	68.89%	1.3111	0.6889
9-4-8	100.00%	68.84%	68.84%	1.3116	0.6884
9-5-7	100.00%	68.86%	68.86%	1.3114	0.6886
10-3-1	100.00%	68.79%	68.79%	1.3121	0.6878
10-4-8	100.00%	68.88%	68.88%	1.3112	0.6888
