Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
4-3-1	100.00%	100.00%	100.00%	1.0000	0.9999
4-3-5	100.00%	99.80%	99.80%	1.0010	0.9990
4-3-7	100.00%	68.95%	68.95%	1.3106	0.8303
4-4-4	100.00%	100.00%	100.00%	1.0000	0.9998
4-4-7	100.00%	100.00%	97.94%	1.0206	0.8909
4-4-8	100.00%	100.00%	100.00%	1.0000	0.9999
4-5-1	100.00%	68.66%	68.66%	1.3134	0.8286
4-5-3	100.00%	100.00%	100.00%	1.0000	1.0000
4-5-5	100.00%	100.00%	100.00%	1.0000	0.9997
4-5-7	100.00%	100.00%	100.00%	1.0000	0.9999
4-5-10	100.00%	98.71%	98.71%	1.0129	0.9935
4-6-3	100.00%	98.74%	98.74%	1.0126	0.9937
4-6-5	100.00%	100.00%	71.07%	1.1446	0.9764
4-6-7	100.00%	100.00%	100.00%	1.0000	1.0000
4-6-10	100.00%	100.00%	100.00%	1.0000	1.0000
4-7-2	100.00%	51.73%	51.73%	1.4826	0.7193
4-7-3	100.00%	100.00%	100.00%	1.0000	0.9978
4-7-4	100.00%	100.00%	100.00%	1.0000	1.0000
4-7-5	99.49%	99.49%	99.49%	0.9949	0.9974
4-7-6	100.00%	100.00%	100.00%	1.0000	1.0000
4-7-10	100.00%	100.00%	98.06%	1.0194	0.8890
4-8-2	100.00%	62.41%	62.41%	1.3759	0.7900
4-8-3	100.00%	100.00%	100.00%	1.0000	0.9973
4-8-4	08.76%	08.76%	08.76%	0.0876	0.2959
4-8-6	100.00%	100.00%	100.00%	1.0000	1.0000
4-8-7	100.00%	97.64%	78.82%	1.2118	0.9345
4-8-8	100.00%	100.00%	100.00%	1.0000	1.0000
4-8-9	100.00%	100.00%	100.00%	1.0000	1.0000
4-8-10	100.00%	99.79%	99.79%	1.0011	0.9989
4-9-1	100.00%	97.63%	79.77%	1.2023	0.9303
4-9-2	100.00%	100.00%	89.90%	1.1010	0.8069
4-9-3	100.00%	100.00%	77.04%	1.1148	0.9595
4-9-4	100.00%	100.00%	100.00%	1.0000	1.0000
4-9-5	99.82%	97.48%	79.07%	1.2056	0.9322
4-9-6	100.00%	100.00%	100.00%	1.0000	1.0000
4-9-8	100.00%	100.00%	100.00%	1.0000	0.9999
4-9-9	100.00%	100.00%	100.00%	1.0000	1.0000
4-9-10	100.00%	100.00%	100.00%	1.0000	0.9999
4-10-1	100.00%	100.00%	100.00%	1.0000	1.0000
4-10-2	100.00%	100.00%	100.00%	1.0000	0.9975
4-10-3	100.00%	100.00%	100.00%	1.0000	1.0000
4-10-4	100.00%	100.00%	100.00%	1.0000	1.0000
4-10-5	00.00%	00.00%	00.00%	0.0000	0.0000
4-10-6	99.64%	50.99%	50.99%	1.4829	0.7141
4-10-7	100.00%	100.00%	100.00%	1.0000	1.0000
4-10-8	100.00%	51.29%	51.29%	1.4870	0.7162
4-10-9	100.00%	100.00%	100.00%	1.0000	0.9998
5-3-3	100.00%	100.00%	97.95%	1.0205	0.8907
5-3-6	100.00%	68.93%	68.93%	1.3107	0.8303
5-3-7	100.00%	100.00%	89.12%	1.1088	0.8143
5-4-1	100.00%	68.81%	68.81%	1.3119	0.8295
5-5-2	100.00%	100.00%	100.00%	1.0000	0.9999
5-5-5	100.00%	100.00%	100.00%	1.0000	0.9999
5-6-7	100.00%	100.00%	100.00%	1.0000	1.0000
5-6-9	100.00%	100.00%	100.00%	1.0000	0.9999
5-6-10	100.00%	100.00%	100.00%	1.0000	0.9997
5-7-2	100.00%	100.00%	100.00%	1.0000	0.9999
5-7-3	100.00%	98.17%	54.97%	1.4518	0.9399
5-7-9	100.00%	62.58%	62.58%	1.3742	0.7911
5-8-4	100.00%	68.90%	68.90%	1.3109	0.8301
5-8-5	100.00%	100.00%	100.00%	1.0000	0.9998
5-8-6	100.00%	100.00%	100.00%	1.0000	0.9999
5-10-4	100.00%	100.00%	100.00%	1.0000	1.0000
5-10-6	100.00%	100.00%	100.00%	1.0000	0.9999
5-10-9	100.00%	100.00%	100.00%	1.0000	1.0000
5-10-10	100.00%	100.00%	100.00%	1.0000	0.9999
6-3-6	100.00%	55.83%	55.83%	1.4417	0.7472
6-4-3	100.00%	51.26%	51.26%	1.4873	0.7160
6-4-7	100.00%	68.60%	68.60%	1.3140	0.8282
6-6-5	100.00%	100.00%	97.91%	1.0209	0.8913
6-7-9	100.00%	100.00%	100.00%	1.0000	0.9999
