Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
8-3-2	100.00%	100.00%	94.35%	1.0565	0.7547
8-3-3	100.00%	100.00%	94.27%	1.0573	0.7558
8-4-2	100.00%	100.00%	69.06%	1.3094	0.7807
8-5-2	100.00%	100.00%	100.00%	1.0000	0.9998
8-5-4	100.00%	100.00%	62.77%	1.3723	0.8293
8-5-7	100.00%	100.00%	100.00%	1.0000	0.9997
8-5-8	100.00%	100.00%	99.06%	1.0047	0.9329
8-6-4	100.00%	100.00%	74.72%	1.1264	0.7513
8-6-10	100.00%	100.00%	57.45%	1.4290	0.8023
8-7-3	100.00%	100.00%	99.65%	1.0018	0.9754
8-7-6	100.00%	100.00%	95.48%	1.0226	0.9327
8-8-1	100.00%	100.00%	83.89%	1.0805	0.7959
8-8-3	100.00%	66.69%	18.12%	1.8188	0.7989
8-8-4	100.00%	100.00%	73.52%	1.2648	0.8420
8-8-5	100.00%	100.00%	97.33%	1.0134	0.6353
8-8-6	100.00%	100.00%	46.32%	1.2684	0.9242
8-8-7	100.00%	100.00%	98.75%	1.0063	0.7478
8-8-10	100.00%	100.00%	100.00%	1.0000	0.9999
8-9-1	100.00%	100.00%	77.41%	1.2259	0.8513
8-9-3	100.00%	100.00%	80.69%	1.0965	0.8293
8-9-4	100.00%	100.00%	100.00%	1.0000	0.9910
8-9-5	100.00%	100.00%	63.51%	1.1824	0.7721
8-9-6	99.83%	99.83%	92.95%	1.0326	0.9122
8-9-7	100.00%	85.45%	80.41%	1.0979	0.7961
8-9-8	100.00%	100.00%	100.00%	1.0000	1.0000
8-9-9	100.00%	56.88%	23.95%	1.7605	0.7321
8-9-10	100.00%	100.00%	60.32%	1.3968	0.8431
8-10-4	100.00%	100.00%	99.46%	1.0027	0.9459
8-10-5	100.00%	100.00%	92.20%	1.0390	0.5905
8-10-6	99.26%	99.26%	99.26%	0.9926	0.5752
8-10-8	100.00%	100.00%	100.00%	1.0000	0.6273
8-10-9	100.00%	100.00%	89.25%	1.0537	0.8133
9-4-2	100.00%	100.00%	91.93%	1.0807	0.7843
9-4-3	100.00%	100.00%	73.10%	1.2721	0.7373
9-4-4	100.00%	100.00%	100.00%	1.0000	0.9997
9-4-10	100.00%	100.00%	86.59%	1.1341	0.7815
9-5-6	100.00%	100.00%	64.81%	1.3519	0.7930
9-5-8	100.00%	100.00%	100.00%	1.0000	0.9999
9-5-9	100.00%	100.00%	97.20%	1.0141	0.8590
9-6-7	100.00%	100.00%	100.00%	1.0000	0.9989
9-7-9	100.00%	100.00%	99.09%	1.0045	0.9463
9-8-5	100.00%	100.00%	99.31%	1.0035	0.9725
9-8-6	100.00%	100.00%	93.74%	1.0626	0.8608
9-8-7	100.00%	100.00%	67.55%	1.1623	0.7917
9-9-5	100.00%	100.00%	62.74%	1.3839	0.7818
9-9-9	100.00%	100.00%	35.93%	1.6624	0.7879
9-10-6	100.00%	100.00%	100.00%	1.0000	0.9997
10-3-8	100.00%	100.00%	94.59%	1.0541	0.7513
10-3-9	100.00%	100.00%	77.17%	1.2283	0.7743
10-4-1	100.00%	100.00%	99.17%	1.0083	0.8903
10-4-4	100.00%	100.00%	95.34%	1.0466	0.8430
10-4-7	100.00%	100.00%	94.23%	1.0577	0.7565
10-5-7	100.00%	100.00%	85.94%	1.1406	0.7343
10-6-7	100.00%	100.00%	94.66%	1.0267	0.8261
10-7-4	100.00%	100.00%	100.00%	1.0000	0.9992
10-9-3	100.00%	100.00%	69.20%	1.3080	0.7798
10-9-5	100.00%	100.00%	90.06%	1.0497	0.6237
8-3-2	100.00%	40.53%	26.72%	1.9087	0.3622
8-3-3	100.00%	40.93%	26.58%	1.9113	0.3683
8-4-2	100.00%	96.88%	79.92%	1.2033	0.4384
8-5-2	100.00%	53.06%	53.06%	1.2621	0.5306
8-5-4	100.00%	47.85%	14.11%	2.1377	0.4487
8-5-7	100.00%	57.60%	57.60%	1.2291	0.5760
8-5-8	100.00%	97.33%	96.85%	1.0158	0.8300
8-6-4	100.00%	95.58%	81.66%	1.0933	0.4308
8-6-10	100.00%	48.40%	17.25%	2.0497	0.3878
8-7-3	100.00%	60.26%	58.96%	1.2167	0.5919
8-7-6	100.00%	74.97%	70.99%	1.1450	0.6645
8-8-1	100.00%	98.33%	91.49%	1.0430	0.5278
8-8-3	100.00%	66.69%	18.15%	1.8185	0.6381
8-8-4	100.00%	41.62%	20.34%	2.0159	0.3771
8-8-5	100.00%	49.15%	43.47%	1.2940	0.2284
8-8-6	100.00%	64.08%	16.68%	1.4385	0.6211
8-8-7	100.00%	51.53%	47.27%	1.2770	0.3253
