Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
8-8-10	100.00%	65.52%	65.52%	1.1724	0.6552
8-9-1	100.00%	40.54%	22.12%	1.9643	0.3682
8-9-3	100.00%	97.54%	88.68%	1.0574	0.5303
8-9-4	100.00%	63.50%	63.50%	1.1911	0.6326
8-9-5	100.00%	91.11%	58.85%	1.2057	0.5470
8-9-6	99.97%	73.78%	67.53%	1.1619	0.6223
8-9-7	100.00%	85.51%	80.39%	1.0980	0.6342
8-9-8	100.00%	31.98%	31.98%	1.7506	0.3198
8-9-9	100.00%	56.70%	24.00%	1.7600	0.5337
8-9-10	100.00%	53.51%	15.58%	2.0201	0.5027
8-10-4	100.00%	52.57%	50.23%	1.2862	0.5068
8-10-5	100.00%	57.18%	47.29%	1.2689	0.2227
8-10-6	99.82%	51.18%	51.18%	1.2782	0.1706
8-10-8	100.00%	48.70%	48.70%	1.2694	0.1944
8-10-9	100.00%	68.63%	58.93%	1.2054	0.4652
9-4-2	100.00%	43.07%	28.08%	1.8514	0.3870
9-4-3	100.00%	93.93%	79.38%	1.2120	0.3968
9-4-4	100.00%	74.73%	74.73%	1.1264	0.7472
9-4-10	100.00%	41.08%	22.75%	1.9773	0.3712
9-5-6	100.00%	45.19%	10.86%	2.2791	0.4281
9-5-8	100.00%	36.80%	36.80%	1.6821	0.3680
9-5-9	100.00%	98.41%	97.38%	1.0132	0.6737
9-6-7	100.00%	58.47%	58.47%	1.2160	0.5847
9-7-9	100.00%	60.97%	57.93%	1.2314	0.5867
9-8-5	100.00%	66.61%	64.95%	1.1817	0.6527
9-8-6	100.00%	40.98%	32.24%	1.7479	0.3727
9-8-7	100.00%	97.41%	78.45%	1.1091	0.4931
9-9-5	100.00%	45.84%	22.28%	1.9725	0.3289
9-9-9	100.00%	55.96%	13.30%	2.0991	0.3909
9-10-6	100.00%	65.70%	65.70%	1.1756	0.6569
10-3-8	100.00%	40.77%	26.84%	1.9070	0.3646
10-3-9	100.00%	40.21%	13.81%	2.1533	0.3796
10-4-1	100.00%	43.17%	39.13%	1.6674	0.4046
10-4-4	100.00%	33.24%	26.16%	1.9619	0.3024
10-4-7	100.00%	40.95%	26.81%	1.9078	0.3671
10-5-7	100.00%	42.11%	19.31%	2.0748	0.3835
10-6-7	100.00%	95.95%	93.57%	1.0326	0.5868
10-7-4	100.00%	56.60%	56.60%	1.2308	0.5660
10-9-3	100.00%	96.82%	80.00%	1.2031	0.4366
10-9-5	100.00%	47.23%	30.71%	1.3891	0.2549
