Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
8-4-8	100.00%	100.00%	92.19%	1.0781	0.7825
8-4-10	100.00%	100.00%	95.97%	1.0403	0.8345
8-5-1	100.00%	100.00%	68.72%	1.3128	0.8484
8-5-3	100.00%	100.00%	81.99%	1.1960	0.7395
8-5-10	100.00%	100.00%	97.55%	1.0255	0.7911
8-6-7	100.00%	100.00%	97.89%	1.0211	0.8581
8-6-9	100.00%	100.00%	77.24%	1.2276	0.7738
8-7-1	100.00%	100.00%	75.37%	1.2463	0.7876
8-7-5	100.00%	100.00%	67.33%	1.3267	0.8385
8-7-8	100.00%	58.88%	58.88%	1.4111	0.7674
8-7-10	100.00%	100.00%	97.84%	1.0216	0.8591
8-9-2	100.00%	100.00%	100.00%	1.0000	0.9923
8-10-3	100.00%	100.00%	100.00%	1.0000	0.9175
9-3-2	100.00%	100.00%	75.51%	1.2449	0.7865
9-4-7	100.00%	100.00%	100.00%	1.0000	0.9997
9-5-4	100.00%	100.00%	93.59%	1.0641	0.8622
9-6-6	100.00%	100.00%	100.00%	1.0000	0.9999
9-6-8	100.00%	100.00%	92.90%	1.0710	0.7739
9-10-4	100.00%	100.00%	76.86%	1.2314	0.7767
9-10-5	100.00%	44.47%	44.47%	1.5553	0.6669
10-4-3	100.00%	100.00%	75.86%	1.2414	0.7840
10-4-6	100.00%	50.95%	50.95%	1.4905	0.7138
10-4-10	100.00%	100.00%	100.00%	1.0000	0.9998
10-5-1	100.00%	100.00%	77.45%	1.2255	0.7722
10-5-8	100.00%	58.96%	58.96%	1.4104	0.7678
6-3-3	100.00%	46.73%	20.54%	1.9991	0.4361
6-4-2	100.00%	54.38%	54.38%	1.4562	0.5438
6-5-1	100.00%	50.99%	27.57%	1.8334	0.4647
6-5-2	100.00%	99.34%	99.34%	1.0033	0.9934
6-5-9	100.00%	47.96%	40.58%	1.6660	0.4425
6-6-1	100.00%	97.56%	97.56%	1.0245	0.9755
6-6-3	100.00%	53.95%	30.31%	1.6969	0.5110
6-6-6	100.00%	99.07%	99.07%	1.0046	0.9907
6-6-7	100.00%	100.00%	100.00%	1.0000	0.8000
6-6-9	100.00%	100.00%	100.00%	1.0000	0.9999
6-6-10	100.00%	95.86%	78.29%	1.2192	0.5523
6-7-1	99.99%	54.49%	54.49%	1.2414	0.5449
6-7-4	100.00%	99.54%	99.54%	1.0015	0.9953
6-7-6	100.00%	69.76%	69.76%	1.1512	0.6976
6-7-7	100.00%	47.65%	20.97%	1.9826	0.4446
6-7-10	100.00%	98.76%	90.73%	1.0467	0.7415
6-8-1	100.00%	98.36%	79.36%	1.1036	0.8802
6-8-2	100.00%	99.36%	98.97%	1.0051	0.8418
6-8-3	100.00%	97.68%	87.55%	1.1256	0.4940
6-8-5	100.00%	48.01%	40.42%	1.6701	0.4446
6-8-7	100.00%	55.50%	25.24%	1.8321	0.5136
6-8-8	100.00%	100.00%	45.36%	1.2732	0.9848
6-9-2	100.00%	88.88%	69.41%	1.1529	0.4355
6-9-3	100.00%	98.66%	98.66%	1.0067	0.9709
6-9-5	100.00%	95.64%	82.55%	1.1769	0.5888
6-9-6	100.00%	48.90%	48.90%	1.2797	0.4890
6-9-8	100.00%	98.13%	88.90%	1.0560	0.6893
6-9-9	100.00%	99.65%	99.65%	1.0017	0.9965
6-9-10	100.00%	74.30%	74.30%	1.1285	0.5944
6-10-1	100.00%	99.73%	99.73%	1.0009	0.6571
6-10-3	100.00%	98.83%	98.83%	1.0059	0.9883
6-10-5	100.00%	71.82%	71.82%	1.1409	0.7182
6-10-6	100.00%	98.91%	98.06%	1.0097	0.8165
6-10-7	100.00%	64.46%	64.46%	1.1777	0.4834
6-10-8	100.00%	99.07%	90.81%	1.0461	0.6797
6-10-9	100.00%	61.64%	23.05%	1.8253	0.5934
6-10-10	100.00%	97.87%	97.53%	1.0124	0.8563
7-4-2	100.00%	97.61%	86.20%	1.1390	0.4404
7-4-3	100.00%	47.59%	30.62%	1.8407	0.4301
7-4-4	100.00%	59.58%	21.61%	1.8869	0.5568
7-4-5	100.00%	97.76%	85.76%	1.1433	0.4499
7-5-1	100.00%	47.29%	30.24%	1.8459	0.4285
7-5-8	100.00%	98.66%	98.64%	1.0069	0.7500
7-5-9	100.00%	76.75%	76.75%	1.1162	0.7675
7-5-10	100.00%	53.59%	34.10%	1.6590	0.5059
7-6-8	100.00%	50.38%	32.31%	1.7649	0.4559
7-7-9	100.00%	47.61%	30.44%	1.8441	0.4315
7-8-3	100.00%	92.69%	92.69%	1.0365	0.9262
7-8-4	100.00%	67.76%	67.76%	1.1612	0.6775
7-8-7	100.00%	99.29%	99.29%	1.0035	0.9894
7-8-10	100.00%	97.72%	88.98%	1.1113	0.4709
7-9-3	100.00%	99.73%	99.73%	1.0009	0.9973
7-9-5	100.00%	99.36%	98.21%	1.0090	0.7586
7-9-7	100.00%	96.50%	84.01%	1.0804	0.5835
7-9-8	100.00%	39.18%	22.54%	2.0720	0.3385
7-10-9	100.00%	100.00%	100.00%	1.0000	0.9999
8-3-1	100.00%	59.10%	59.10%	1.4090	0.5910
8-3-9	100.00%	47.19%	30.46%	1.8449	0.4258
8-4-4	100.00%	97.60%	94.98%	1.0515	0.3447
8-4-8	100.00%	47.16%	30.34%	1.8456	0.4262
8-4-10	100.00%	95.69%	93.70%	1.0637	0.6151
8-5-1	100.00%	52.31%	21.66%	1.9634	0.4836
8-5-3	100.00%	97.63%	89.52%	1.1091	0.4033
8-5-10	100.00%	95.74%	94.71%	1.0537	0.5553
8-6-7	100.00%	47.62%	40.11%	1.6733	0.4408
8-6-9	100.00%	97.74%	86.49%	1.1366	0.4383
8-7-1	100.00%	97.78%	86.17%	1.1392	0.4440
8-7-5	100.00%	58.22%	21.46%	1.9027	0.5423
8-7-8	100.00%	58.90%	58.90%	1.4110	0.5890
8-7-10	100.00%	48.18%	40.66%	1.6671	0.4454
8-9-2	100.00%	90.48%	90.48%	1.0476	0.9024
8-10-3	100.00%	79.50%	79.50%	1.1025	0.6792
9-3-2	100.00%	97.72%	86.25%	1.1385	0.4416
9-4-7	100.00%	97.42%	97.42%	1.0130	0.9742
9-5-4	100.00%	46.04%	35.94%	1.7257	0.4207
9-6-6	100.00%	68.24%	68.24%	1.1588	0.6824
9-6-8	100.00%	47.55%	30.40%	1.8428	0.4309
9-10-4	100.00%	97.73%	86.46%	1.1365	0.4387
9-10-5	100.00%	44.70%	44.70%	1.5530	0.4470
10-4-3	100.00%	97.73%	86.24%	1.1386	0.4420
10-4-6	100.00%	50.55%	50.55%	1.4945	0.5055
10-4-10	100.00%	63.02%	63.02%	1.2018	0.6302
10-5-1	100.00%	97.71%	86.54%	1.1359	0.4369
10-5-8	100.00%	59.14%	59.14%	1.4086	0.5914
