Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
6-3-3	100.00%	100.00%	82.63%	1.1737	0.7792
6-4-2	100.00%	54.56%	54.56%	1.4544	0.7386
6-5-1	100.00%	100.00%	77.74%	1.2226	0.8491
6-5-2	100.00%	100.00%	100.00%	1.0000	1.0000
6-5-9	100.00%	100.00%	98.04%	1.0196	0.8555
6-6-1	100.00%	100.00%	100.00%	1.0000	1.0000
6-6-3	100.00%	54.05%	30.72%	1.6928	0.7144
6-6-6	100.00%	100.00%	100.00%	1.0000	0.9999
6-6-7	100.00%	100.00%	100.00%	1.0000	0.8944
6-6-9	100.00%	100.00%	100.00%	1.0000	1.0000
6-6-10	100.00%	100.00%	69.14%	1.3086	0.8457
6-7-1	100.00%	100.00%	100.00%	1.0000	1.0000
6-7-4	100.00%	100.00%	100.00%	1.0000	0.9996
6-7-6	100.00%	100.00%	100.00%	1.0000	0.9998
6-7-7	100.00%	100.00%	80.12%	1.1988	0.7990
6-7-10	100.00%	100.00%	84.17%	1.0792	0.9214
6-8-1	100.00%	100.00%	78.97%	1.1051	0.9526
6-8-2	100.00%	100.00%	98.78%	1.0061	0.9380
6-8-3	100.00%	100.00%	78.64%	1.2136	0.8099
6-8-5	100.00%	100.00%	97.90%	1.0210	0.8580
6-8-7	100.00%	100.00%	71.77%	1.2823	0.8535
6-8-8	100.00%	100.00%	43.06%	1.2847	0.9947
6-9-2	100.00%	100.00%	75.67%	1.1216	0.6977
6-9-3	100.00%	100.00%	100.00%	1.0000	0.9900
6-9-5	100.00%	100.00%	76.33%	1.2367	0.8579
6-9-6	100.00%	100.00%	100.00%	1.0000	1.0000
6-9-8	100.00%	100.00%	82.17%	1.0892	0.8989
6-9-9	100.00%	100.00%	100.00%	1.0000	1.0000
6-9-10	100.00%	74.22%	74.22%	1.1289	0.7706
6-10-1	100.00%	100.00%	100.00%	1.0000	0.8128
6-10-3	100.00%	100.00%	100.00%	1.0000	0.9998
6-10-5	100.00%	100.00%	100.00%	1.0000	1.0000
6-10-6	100.00%	100.00%	97.70%	1.0115	0.9309
6-10-7	100.00%	100.00%	100.00%	1.0000	0.8652
6-10-8	100.00%	100.00%	82.03%	1.0899	0.9004
6-10-9	100.00%	61.45%	22.69%	1.8284	0.7699
6-10-10	100.00%	100.00%	99.28%	1.0036	0.9438
7-4-2	100.00%	100.00%	76.09%	1.2391	0.7822
7-4-3	100.00%	100.00%	92.16%	1.0784	0.7829
7-4-4	100.00%	100.00%	59.39%	1.4061	0.8808
7-4-5	100.00%	100.00%	75.12%	1.2488	0.7893
7-5-1	100.00%	100.00%	92.87%	1.0713	0.7743
7-5-8	100.00%	100.00%	99.90%	1.0010	0.8812
7-5-9	100.00%	100.00%	100.00%	1.0000	0.9998
7-5-10	100.00%	53.56%	34.22%	1.6578	0.7106
7-6-8	100.00%	100.00%	88.87%	1.1113	0.8152
7-7-9	100.00%	100.00%	92.28%	1.0772	0.7814
7-8-3	100.00%	92.69%	92.69%	1.0365	0.9625
7-8-4	100.00%	100.00%	100.00%	1.0000	0.9993
7-8-7	100.00%	100.00%	100.00%	1.0000	0.9976
7-8-10	100.00%	100.00%	80.45%	1.1955	0.7965
7-9-3	100.00%	100.00%	100.00%	1.0000	1.0000
7-9-5	100.00%	100.00%	96.54%	1.0173	0.9095
7-9-7	100.00%	100.00%	77.40%	1.1130	0.8509
7-9-8	100.00%	100.00%	88.87%	1.1135	0.7284
7-10-9	100.00%	100.00%	100.00%	1.0000	1.0000
8-3-1	100.00%	58.98%	58.98%	1.4102	0.7680
8-3-9	100.00%	100.00%	92.81%	1.0719	0.7751
8-4-4	100.00%	100.00%	92.07%	1.0855	0.6709
