Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
7-8-6	100.00%	40.35%	40.35%	1.5965	0.4035
7-8-9	100.00%	42.10%	35.09%	1.7015	0.3922
7-9-2	100.00%	78.91%	78.91%	1.1054	0.4735
7-9-6	100.00%	85.55%	69.00%	1.1550	0.4994
7-9-10	100.00%	97.03%	97.03%	1.0150	0.9703
7-10-1	100.00%	47.35%	17.88%	2.0694	0.4389
7-10-2	100.00%	82.97%	82.97%	1.0852	0.8257
7-10-3	100.00%	91.38%	68.73%	1.1564	0.8950
7-10-4	100.00%	78.28%	78.28%	1.1086	0.7828
7-10-5	100.00%	48.39%	38.07%	1.3948	0.4402
7-10-7	100.00%	98.99%	98.99%	1.0050	0.9898
7-10-8	100.00%	78.66%	78.66%	1.1067	0.7866
7-10-10	100.00%	55.46%	41.78%	1.3605	0.5164
8-4-7	100.00%	38.11%	38.11%	1.6189	0.3811
8-5-6	100.00%	98.14%	93.33%	1.0691	0.2613
8-6-1	100.00%	42.56%	42.56%	1.5743	0.4256
8-6-5	100.00%	45.96%	15.81%	2.1530	0.4280
8-6-6	100.00%	40.90%	17.36%	2.1621	0.3758
8-7-2	100.00%	75.69%	75.69%	1.1215	0.7563
8-7-4	100.00%	99.35%	91.83%	1.0409	0.6025
8-7-7	100.00%	51.02%	17.40%	2.0458	0.4759
8-8-2	100.00%	94.92%	91.29%	1.0884	0.5003
8-8-9	100.00%	47.49%	42.95%	1.3215	0.4544
8-10-1	100.00%	50.54%	23.11%	1.9306	0.3775
8-10-2	100.00%	94.97%	91.22%	1.0886	0.5036
8-10-7	100.00%	99.28%	72.84%	1.1358	0.9351
8-10-10	100.00%	54.25%	20.96%	2.2801	0.3579
9-3-1	100.00%	44.25%	24.39%	1.9566	0.4005
9-3-7	100.00%	43.07%	16.53%	2.0872	0.4048
9-3-9	100.00%	94.93%	91.31%	1.0879	0.5000
9-4-6	100.00%	97.72%	86.53%	1.0678	0.4372
9-4-9	100.00%	43.83%	34.49%	1.7549	0.3985
9-5-1	100.00%	40.41%	40.41%	1.5959	0.4041
9-5-2	100.00%	47.91%	45.43%	1.5782	0.4617
9-6-1	100.00%	78.57%	78.57%	1.1072	0.7857
9-7-4	100.00%	97.20%	82.95%	1.1726	0.4349
9-7-5	100.00%	97.23%	88.17%	1.1204	0.3553
9-7-7	100.00%	59.95%	59.95%	1.2155	0.5994
9-7-8	100.00%	69.04%	69.04%	1.1611	0.6904
9-8-10	100.00%	97.41%	96.00%	1.0202	0.6949
9-9-3	100.00%	95.53%	95.53%	1.0224	0.9546
9-9-4	100.00%	44.35%	24.52%	1.9572	0.4009
9-9-7	100.00%	48.08%	28.70%	1.8161	0.4335
9-9-8	100.00%	97.09%	96.53%	1.0175	0.7894
10-3-3	100.00%	43.66%	34.34%	1.7564	0.3972
10-3-4	100.00%	55.28%	55.28%	1.4472	0.5528
10-3-5	100.00%	44.15%	32.55%	1.8038	0.3981
10-3-6	100.00%	55.31%	55.31%	1.4469	0.5531
10-4-2	100.00%	45.18%	39.88%	1.6665	0.4206
10-6-5	100.00%	97.32%	82.86%	1.1733	0.4380
10-6-10	100.00%	43.95%	32.19%	1.8055	0.3978
10-7-8	100.00%	94.85%	91.32%	1.0880	0.4971
10-8-3	100.00%	94.93%	91.28%	1.0882	0.5007
10-10-5	100.00%	97.11%	91.73%	1.0901	0.2875
