Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
7-4-8	100.00%	100.00%	100.00%	1.0000	0.9999
7-6-2	100.00%	100.00%	100.00%	1.0000	0.9256
7-6-4	100.00%	100.00%	60.99%	1.3901	0.8490
7-6-5	100.00%	100.00%	91.34%	1.0977	0.6319
7-7-2	100.00%	100.00%	100.00%	1.0000	0.9998
7-7-4	99.23%	99.23%	99.23%	0.9923	0.9961
7-7-6	100.00%	100.00%	63.10%	1.3690	0.8484
7-7-8	100.00%	100.00%	100.00%	1.0000	0.9945
7-7-10	100.00%	100.00%	89.39%	1.1061	0.7547
7-8-1	100.00%	100.00%	97.71%	1.0114	0.8941
7-8-2	100.00%	100.00%	100.00%	1.0000	0.9998
7-8-5	100.00%	100.00%	96.54%	1.0173	0.5902
7-8-6	100.00%	40.07%	40.07%	1.5993	0.6330
7-8-9	100.00%	100.00%	96.32%	1.0367	0.8802
7-9-2	100.00%	100.00%	100.00%	1.0000	0.7744
7-9-6	100.00%	100.00%	82.10%	1.0895	0.7584
7-9-10	100.00%	100.00%	100.00%	1.0000	1.0000
7-10-1	100.00%	100.00%	69.98%	1.3002	0.8228
7-10-2	100.00%	100.00%	100.00%	1.0000	0.9875
7-10-3	100.00%	100.00%	74.56%	1.1272	0.9866
7-10-4	100.00%	100.00%	100.00%	1.0000	1.0000
7-10-5	100.00%	100.00%	94.40%	1.0280	0.8543
7-10-7	100.00%	100.00%	100.00%	1.0000	0.9993
7-10-8	100.00%	100.00%	100.00%	1.0000	0.9999
7-10-10	100.00%	100.00%	89.52%	1.0524	0.8941
8-4-7	100.00%	38.21%	38.21%	1.6179	0.6181
8-5-6	100.00%	100.00%	86.06%	1.1513	0.6240
8-6-1	100.00%	42.95%	42.95%	1.5705	0.6553
8-6-5	100.00%	100.00%	69.86%	1.3014	0.8087
8-6-6	100.00%	100.00%	76.46%	1.2354	0.7999
8-7-2	100.00%	100.00%	100.00%	1.0000	0.9970
8-7-4	100.00%	100.00%	83.32%	1.0834	0.8595
8-7-7	100.00%	100.00%	64.96%	1.3504	0.8384
8-8-2	100.00%	100.00%	93.08%	1.0692	0.7718
8-8-9	100.00%	100.00%	98.55%	1.0073	0.9199
8-10-1	100.00%	100.00%	59.06%	1.4698	0.8261
8-10-2	100.00%	100.00%	92.52%	1.0747	0.7785
8-10-7	100.00%	100.00%	72.29%	1.1385	0.9733
8-10-10	100.00%	100.00%	56.50%	1.8700	0.7527
9-3-1	100.00%	100.00%	89.49%	1.1051	0.7536
9-3-7	100.00%	100.00%	78.82%	1.2118	0.7825
9-3-9	100.00%	100.00%	92.64%	1.0736	0.7770
9-4-6	100.00%	100.00%	76.69%	1.1165	0.7778
9-4-9	100.00%	100.00%	96.79%	1.0321	0.8222
9-5-1	100.00%	40.51%	40.51%	1.5949	0.6365
9-5-2	100.00%	100.00%	99.54%	1.0046	0.9383
9-6-1	100.00%	100.00%	100.00%	1.0000	0.9998
9-7-4	100.00%	100.00%	73.35%	1.2665	0.7721
9-7-5	100.00%	100.00%	79.34%	1.2104	0.7097
9-7-7	100.00%	100.00%	100.00%	1.0000	0.9999
9-7-8	100.00%	100.00%	100.00%	1.0000	0.9993
9-8-10	100.00%	100.00%	96.57%	1.0172	0.8769
9-9-3	100.00%	95.58%	95.58%	1.0221	0.9773
9-9-4	100.00%	100.00%	90.05%	1.0995	0.7476
9-9-7	100.00%	100.00%	85.82%	1.1418	0.8120
9-9-8	100.00%	100.00%	98.84%	1.0058	0.9144
10-3-3	100.00%	100.00%	96.76%	1.0324	0.8227
10-3-4	100.00%	55.32%	55.32%	1.4468	0.7438
10-3-5	100.00%	100.00%	96.14%	1.0386	0.7903
10-3-6	100.00%	55.15%	55.15%	1.4485	0.7426
10-4-2	100.00%	100.00%	98.59%	1.0141	0.8791
10-6-5	100.00%	100.00%	72.13%	1.2787	0.7807
10-6-10	100.00%	100.00%	96.03%	1.0397	0.7920
10-7-8	100.00%	100.00%	93.30%	1.0670	0.7689
10-8-3	100.00%	100.00%	93.05%	1.0695	0.7720
10-10-5	100.00%	100.00%	85.72%	1.1710	0.6558
7-4-8	100.00%	98.32%	98.32%	1.0084	0.9832
7-6-2	100.00%	78.43%	78.43%	1.1079	0.6722
7-6-4	100.00%	51.84%	15.88%	2.0678	0.4875
7-6-5	100.00%	94.36%	91.29%	1.0910	0.2893
7-7-2	100.00%	68.81%	68.81%	1.1606	0.6881
7-7-4	99.83%	37.32%	37.32%	1.6500	0.3732
7-7-6	100.00%	54.68%	18.25%	1.9628	0.5121
7-7-8	100.00%	99.21%	99.21%	1.0040	0.9826
7-7-10	100.00%	44.00%	24.22%	1.9602	0.3984
7-8-1	100.00%	98.84%	98.06%	1.0097	0.7387
7-8-2	100.00%	65.84%	65.84%	1.1763	0.6584
7-8-5	100.00%	50.09%	43.64%	1.2905	0.2014
