Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
3-3-4	100.00%	98.56%	98.56%	1.0144	0.9928
3-3-7	100.00%	100.00%	93.55%	1.0645	0.8635
3-4-2	100.00%	100.00%	100.00%	1.0000	1.0000
3-4-3	100.00%	100.00%	100.00%	1.0000	0.9999
3-4-5	100.00%	98.51%	98.51%	1.0149	0.9925
3-4-6	100.00%	98.44%	98.44%	1.0156	0.9921
3-4-8	100.00%	100.00%	100.00%	1.0000	1.0000
3-4-10	100.00%	99.02%	99.02%	1.0097	0.9951
3-5-1	100.00%	100.00%	100.00%	1.0000	0.9999
3-5-3	100.00%	86.35%	86.35%	1.0682	0.9292
3-5-4	100.00%	100.00%	100.00%	1.0000	1.0000
3-5-5	100.00%	100.00%	100.00%	1.0000	1.0000
3-5-6	100.00%	100.00%	100.00%	1.0000	0.9999
3-5-7	100.00%	100.00%	93.73%	1.0627	0.8616
3-5-8	100.00%	72.50%	51.56%	1.4844	0.8313
3-5-9	100.00%	100.00%	100.00%	1.0000	0.9999
3-5-10	100.00%	100.00%	100.00%	1.0000	0.9999
3-6-1	100.00%	100.00%	100.00%	1.0000	1.0000
3-6-2	100.00%	100.00%	100.00%	1.0000	1.0000
3-6-3	100.00%	99.02%	99.02%	1.0098	0.9951
3-6-4	100.00%	100.00%	100.00%	1.0000	0.9999
3-6-5	100.00%	100.00%	100.00%	1.0000	1.0000
3-6-7	100.00%	72.44%	51.58%	1.4842	0.8308
3-6-8	100.00%	100.00%	100.00%	1.0000	1.0000
3-6-9	100.00%	100.00%	100.00%	1.0000	0.9999
3-6-10	100.00%	100.00%	100.00%	1.0000	1.0000
3-7-1	100.00%	100.00%	100.00%	1.0000	1.0000
3-7-2	100.00%	100.00%	100.00%	1.0000	0.9999
3-7-3	100.00%	98.10%	98.10%	1.0190	0.9905
3-7-4	100.00%	100.00%	100.00%	1.0000	1.0000
