Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
3-7-6	100.00%	100.00%	100.00%	1.0000	1.0000
3-7-9	100.00%	100.00%	100.00%	1.0000	1.0000
3-7-10	100.00%	100.00%	100.00%	1.0000	1.0000
3-8-1	100.00%	98.01%	98.01%	1.0199	0.9900
3-8-2	100.00%	100.00%	100.00%	1.0000	0.9999
3-8-3	100.00%	100.00%	100.00%	1.0000	1.0000
3-8-4	100.00%	100.00%	100.00%	1.0000	1.0000
3-8-5	100.00%	100.00%	100.00%	1.0000	0.9999
3-8-6	100.00%	100.00%	100.00%	1.0000	1.0000
3-8-7	100.00%	100.00%	100.00%	1.0000	1.0000
3-8-8	100.00%	86.19%	86.19%	1.0690	0.9284
3-8-9	100.00%	72.46%	51.91%	1.4809	0.8300
3-9-1	100.00%	65.35%	65.35%	1.3465	0.8084
3-9-2	100.00%	100.00%	100.00%	1.0000	1.0000
3-9-3	100.00%	100.00%	100.00%	1.0000	1.0000
3-9-4	99.83%	65.05%	65.05%	1.3461	0.8065
3-9-5	100.00%	65.18%	65.18%	1.3483	0.8073
3-9-6	100.00%	86.30%	86.30%	1.0685	0.9290
3-9-7	100.00%	100.00%	100.00%	1.0000	1.0000
3-9-8	100.00%	85.11%	85.11%	1.0744	0.9226
3-9-9	100.00%	100.00%	100.00%	1.0000	0.9999
3-9-10	100.00%	100.00%	100.00%	1.0000	1.0000
3-10-1	100.00%	100.00%	100.00%	1.0000	1.0000
3-10-2	100.00%	100.00%	100.00%	1.0000	1.0000
3-10-3	100.00%	100.00%	100.00%	1.0000	1.0000
3-10-4	100.00%	100.00%	100.00%	1.0000	1.0000
3-10-5	100.00%	61.35%	61.35%	1.3865	0.7833
3-10-6	100.00%	65.22%	65.22%	1.3478	0.8076
3-10-7	98.69%	98.69%	98.69%	0.9869	0.9934
3-10-8	100.00%	100.00%	100.00%	1.0000	0.9999
3-10-9	98.72%	98.72%	98.72%	0.9872	0.9936
3-10-10	13.61%	13.61%	13.61%	0.1361	0.3689
4-3-2	100.00%	98.05%	98.05%	1.0195	0.9902
4-3-3	100.00%	98.99%	98.99%	1.0101	0.9950
4-3-9	100.00%	100.00%	94.48%	1.0552	0.8534
4-3-10	100.00%	99.64%	99.64%	1.0036	0.9982
4-4-3	100.00%	72.52%	51.84%	1.4816	0.8307
4-4-5	100.00%	100.00%	100.00%	1.0000	1.0000
4-4-10	100.00%	97.96%	97.96%	1.0204	0.9898
4-5-2	100.00%	99.66%	99.66%	1.0034	0.9983
4-5-6	100.00%	98.55%	98.55%	1.0145	0.9927
4-6-1	100.00%	100.00%	100.00%	1.0000	1.0000
4-6-2	100.00%	100.00%	100.00%	1.0000	0.9999
4-6-4	100.00%	100.00%	100.00%	1.0000	0.9999
4-6-6	100.00%	100.00%	100.00%	1.0000	0.9999
4-6-9	100.00%	86.34%	86.34%	1.0683	0.9292
4-7-1	100.00%	100.00%	100.00%	1.0000	1.0000
4-7-7	100.00%	100.00%	100.00%	1.0000	1.0000
4-7-8	99.99%	99.99%	99.99%	0.9999	1.0000
4-8-1	100.00%	100.00%	100.00%	1.0000	0.9999
4-9-7	100.00%	100.00%	100.00%	1.0000	1.0000
4-10-10	100.00%	98.58%	98.58%	1.0142	0.9929
5-3-4	100.00%	98.47%	98.47%	1.0153	0.9923
5-4-5	100.00%	98.51%	98.51%	1.0149	0.9925
5-5-7	100.00%	99.67%	99.67%	1.0033	0.9983
5-7-6	100.00%	98.52%	98.52%	1.0148	0.9926
5-9-2	100.00%	98.48%	98.48%	1.0151	0.9924
6-3-2	100.00%	99.68%	99.68%	1.0032	0.9984
6-3-10	100.00%	98.97%	98.97%	1.0103	0.9949
6-4-10	100.00%	99.69%	99.69%	1.0031	0.9984
6-8-4	100.00%	100.00%	100.00%	1.0000	1.0000
7-9-4	100.00%	99.65%	99.65%	1.0035	0.9983
7-9-9	100.00%	98.06%	98.06%	1.0194	0.9902
8-3-4	100.00%	99.68%	99.68%	1.0032	0.9984
8-3-8	100.00%	99.66%	99.66%	1.0034	0.9983
9-3-8	100.00%	99.67%	99.67%	1.0033	0.9983
9-4-5	100.00%	99.64%	99.64%	1.0035	0.9982
9-5-5	100.00%	99.68%	99.68%	1.0032	0.9984
10-5-2	100.00%	99.69%	99.69%	1.0031	0.9984
10-6-8	100.00%	99.66%	99.66%	1.0034	0.9983
3-3-4	100.00%	98.50%	98.50%	1.0150	0.9850
3-3-7	100.00%	64.30%	48.98%	1.5589	0.5954
3-4-2	100.00%	76.04%	76.04%	1.1198	0.7604
3-4-3	100.00%	88.37%	88.37%	1.0581	0.8837
3-4-5	100.00%	98.45%	98.45%	1.0155	0.9844
3-4-6	100.00%	98.56%	98.56%	1.0144	0.9856
3-4-8	100.00%	100.00%	100.00%	1.0000	1.0000
3-4-10	100.00%	98.94%	98.94%	1.0106	0.9894
3-5-1	99.99%	86.31%	86.31%	1.0684	0.8631
3-5-3	100.00%	86.24%	86.24%	1.0688	0.8624
3-5-4	97.16%	97.16%	97.16%	0.9716	0.9716
3-5-5	100.00%	100.00%	100.00%	1.0000	1.0000
3-5-6	99.67%	78.81%	78.81%	1.1011	0.7881
3-5-7	100.00%	67.85%	53.55%	1.5020	0.6160
3-5-8	100.00%	72.54%	51.72%	1.4828	0.6909
3-5-9	99.66%	78.86%	78.86%	1.1005	0.7886
3-5-10	100.00%	78.18%	78.18%	1.1090	0.7818
3-6-1	100.00%	100.00%	100.00%	1.0000	1.0000
3-6-2	100.00%	100.00%	100.00%	1.0000	1.0000
3-6-3	100.00%	99.04%	99.04%	1.0096	0.9904
3-6-4	99.43%	76.35%	76.35%	1.1097	0.7635
3-6-5	100.00%	62.85%	62.85%	1.4155	0.6285
3-6-7	100.00%	72.57%	51.68%	1.4832	0.6914
3-6-8	100.00%	100.00%	100.00%	1.0000	1.0000
3-6-9	100.00%	86.38%	86.38%	1.0681	0.8638
3-6-10	99.98%	99.98%	99.98%	0.9998	0.9998
3-7-1	100.00%	100.00%	100.00%	1.0000	1.0000
3-7-2	100.00%	86.53%	86.53%	1.0673	0.8653
3-7-3	100.00%	98.06%	98.06%	1.0194	0.9806
3-7-4	100.00%	86.38%	86.38%	1.0681	0.8638
3-7-6	100.00%	100.00%	100.00%	1.0000	1.0000
3-7-9	100.00%	76.07%	76.07%	1.1196	0.7607
3-7-10	100.00%	100.00%	100.00%	1.0000	1.0000
3-8-1	100.00%	98.05%	98.05%	1.0195	0.9805
3-8-2	100.00%	86.06%	86.06%	1.0697	0.8606
3-8-3	100.00%	62.48%	62.48%	1.4180	0.6248
3-8-4	99.01%	99.01%	99.01%	0.9901	0.9901
3-8-5	100.00%	88.11%	88.11%	1.0594	0.8811
3-8-6	99.99%	99.99%	99.99%	0.9999	0.9999
3-8-7	100.00%	100.00%	100.00%	1.0000	1.0000
3-8-8	100.00%	86.01%	86.01%	1.0700	0.8601
3-8-9	100.00%	72.65%	51.79%	1.4821	0.6919
3-9-1	100.00%	65.27%	65.27%	1.3473	0.6527
3-9-2	100.00%	100.00%	100.00%	1.0000	1.0000
3-9-3	100.00%	62.29%	62.29%	1.4219	0.6229
3-9-4	99.83%	65.20%	65.20%	1.3446	0.6520
3-9-5	100.00%	65.17%	65.17%	1.3483	0.6517
3-9-6	100.00%	86.22%	86.22%	1.0689	0.8621
3-9-7	100.00%	100.00%	100.00%	1.0000	1.0000
3-9-8	99.99%	85.21%	85.21%	1.0738	0.8521
3-9-9	100.00%	86.43%	86.43%	1.0678	0.8643
3-9-10	100.00%	75.88%	75.88%	1.1206	0.7588
3-10-1	100.00%	75.87%	75.87%	1.1206	0.7587
3-10-2	99.99%	76.24%	76.24%	1.1187	0.7624
3-10-3	99.58%	62.03%	62.03%	1.1836	0.6203
3-10-4	99.98%	99.98%	99.98%	0.9998	0.9998
3-10-5	100.00%	61.27%	61.27%	1.3874	0.6127
3-10-6	100.00%	65.47%	65.47%	1.3453	0.6547
3-10-7	99.60%	99.60%	99.60%	0.9960	0.9960
3-10-8	100.00%	86.46%	86.46%	1.0677	0.8646
3-10-9	98.77%	98.77%	98.77%	0.9877	0.9877
3-10-10	13.68%	13.68%	13.68%	0.1368	0.1368
4-3-2	100.00%	98.02%	98.02%	1.0199	0.9801
4-3-3	100.00%	98.95%	98.95%	1.0106	0.9895
4-3-9	100.00%	68.00%	53.69%	1.5003	0.6172
4-3-10	100.00%	99.65%	99.65%	1.0035	0.9965
4-4-3	100.00%	72.66%	51.49%	1.4851	0.6934
4-4-5	100.00%	100.00%	100.00%	1.0000	1.0000
4-4-10	100.00%	98.09%	98.09%	1.0191	0.9809
4-5-2	100.00%	99.67%	99.67%	1.0033	0.9967
4-5-6	100.00%	98.48%	98.48%	1.0152	0.9847
4-6-1	100.00%	100.00%	100.00%	1.0000	1.0000
4-6-2	100.00%	88.38%	88.38%	1.0581	0.8838
4-6-4	100.00%	88.35%	88.35%	1.0582	0.8835
4-6-6	100.00%	88.35%	88.35%	1.0582	0.8835
4-6-9	100.00%	86.34%	86.34%	1.0683	0.8634
4-7-1	100.00%	100.00%	100.00%	1.0000	1.0000
4-7-7	100.00%	76.07%	76.07%	1.1196	0.7607
4-7-8	99.99%	99.99%	99.99%	0.9999	0.9999
4-8-1	100.00%	88.38%	88.38%	1.0581	0.8838
4-9-7	100.00%	100.00%	100.00%	1.0000	1.0000
4-10-10	100.00%	98.52%	98.52%	1.0148	0.9851
5-3-4	100.00%	98.55%	98.55%	1.0145	0.9855
5-4-5	100.00%	98.58%	98.58%	1.0142	0.9858
5-5-7	100.00%	99.66%	99.66%	1.0034	0.9966
5-7-6	100.00%	98.52%	98.52%	1.0148	0.9851
5-9-2	100.00%	98.46%	98.46%	1.0154	0.9846
6-3-2	100.00%	99.69%	99.69%	1.0031	0.9969
6-3-10	100.00%	99.02%	99.02%	1.0098	0.9902
6-4-10	100.00%	99.69%	99.69%	1.0031	0.9968
6-8-4	100.00%	100.00%	100.00%	1.0000	1.0000
7-9-4	100.00%	99.68%	99.68%	1.0032	0.9968
7-9-9	100.00%	98.05%	98.05%	1.0195	0.9805
8-3-4	100.00%	99.68%	99.68%	1.0032	0.9968
8-3-8	100.00%	99.65%	99.65%	1.0035	0.9965
9-3-8	100.00%	99.66%	99.66%	1.0034	0.9966
9-4-5	100.00%	99.65%	99.65%	1.0035	0.9964
9-5-5	100.00%	99.66%	99.66%	1.0034	0.9966
10-5-2	100.00%	99.69%	99.69%	1.0031	0.9969
10-6-8	100.00%	99.66%	99.66%	1.0033	0.9966
