Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
6-4-5	100.00%	63.33%	63.33%	1.3667	0.7958
6-4-6	100.00%	100.00%	100.00%	1.0000	0.9998
6-4-9	100.00%	100.00%	95.95%	1.0405	0.8348
6-5-3	100.00%	100.00%	84.78%	1.1522	0.7982
6-5-4	100.00%	100.00%	100.00%	1.0000	0.9999
6-5-5	100.00%	100.00%	100.00%	1.0000	0.9999
6-5-6	100.00%	63.33%	63.33%	1.3667	0.7958
6-5-7	100.00%	49.63%	49.63%	1.5037	0.7045
6-5-8	100.00%	100.00%	100.00%	1.0000	0.9999
6-6-2	100.00%	100.00%	86.91%	1.1972	0.8336
6-6-4	100.00%	100.00%	100.00%	1.0000	0.9990
6-6-8	100.00%	100.00%	82.51%	1.1749	0.7802
6-7-2	100.00%	100.00%	100.00%	1.0000	0.9998
6-7-3	100.00%	67.86%	26.60%	1.7339	0.8052
6-7-5	100.00%	100.00%	98.98%	1.0102	0.9120
6-7-8	100.00%	100.00%	100.00%	1.0000	0.9995
6-8-6	100.00%	100.00%	100.00%	1.0000	0.9916
6-8-9	100.00%	100.00%	100.00%	1.0000	0.9117
6-8-10	100.00%	100.00%	100.00%	1.0000	0.7071
6-9-1	100.00%	100.00%	100.00%	1.0000	1.0000
6-9-4	100.00%	100.00%	100.00%	1.0000	1.0000
6-9-7	100.00%	100.00%	84.16%	1.1584	0.8539
6-10-2	100.00%	100.00%	100.00%	1.0000	0.9995
6-10-4	100.00%	100.00%	76.49%	1.2351	0.8566
7-3-2	100.00%	100.00%	88.69%	1.1131	0.8182
7-3-3	100.00%	100.00%	96.41%	1.0359	0.8283
7-3-4	100.00%	100.00%	100.00%	1.0000	0.9999
7-3-8	100.00%	63.52%	63.52%	1.3648	0.7970
7-3-9	100.00%	63.45%	63.45%	1.3655	0.7965
7-3-10	100.00%	100.00%	96.24%	1.0376	0.8308
7-4-6	100.00%	100.00%	98.94%	1.0106	0.9128
7-4-9	100.00%	63.34%	63.34%	1.3666	0.7959
7-4-10	100.00%	100.00%	100.00%	1.0000	0.9999
7-5-2	100.00%	100.00%	77.13%	1.2287	0.8528
7-5-5	100.00%	100.00%	84.76%	1.1524	0.7983
7-5-6	100.00%	100.00%	95.99%	1.0401	0.8343
7-6-1	100.00%	100.00%	99.02%	1.0098	0.9112
7-6-3	100.00%	100.00%	100.00%	1.0000	0.9998
7-6-6	100.00%	100.00%	100.00%	1.0000	0.9999
7-6-7	100.00%	100.00%	96.27%	1.0373	0.8302
7-6-9	100.00%	100.00%	96.01%	1.0399	0.8340
7-7-1	100.00%	100.00%	83.69%	1.1631	0.8565
7-7-5	100.00%	100.00%	100.00%	1.0000	1.0000
7-7-7	100.00%	64.98%	30.73%	1.6927	0.7839
7-8-8	100.00%	100.00%	100.00%	1.0000	0.9998
7-9-1	100.00%	100.00%	82.62%	1.1738	0.7793
7-10-6	100.00%	100.00%	100.00%	1.0000	0.9999
8-3-5	100.00%	63.64%	63.64%	1.3636	0.7977
8-3-6	100.00%	63.41%	63.41%	1.3659	0.7963
8-3-10	100.00%	63.33%	63.33%	1.3667	0.7958
8-4-1	100.00%	100.00%	82.62%	1.1738	0.7794
8-5-9	100.00%	63.65%	63.65%	1.3635	0.7978
8-6-2	100.00%	100.00%	96.21%	1.0379	0.8312
8-7-9	100.00%	100.00%	85.78%	1.1422	0.7896
8-8-8	100.00%	53.79%	53.79%	1.4621	0.7334
9-6-2	100.00%	100.00%	95.96%	1.0404	0.8348
9-6-5	100.00%	100.00%	100.00%	1.0000	0.9999
9-9-6	100.00%	63.70%	63.70%	1.3630	0.7981
10-3-2	100.00%	63.53%	63.53%	1.3647	0.7971
10-7-9	100.00%	63.51%	63.51%	1.3649	0.7970
10-7-10	100.00%	63.62%	63.62%	1.3638	0.7976
10-9-8	100.00%	100.00%	98.91%	1.0110	0.9135
5-4-2	100.00%	99.01%	99.01%	1.0050	0.9901
5-4-6	100.00%	100.00%	100.00%	1.0000	0.9999
5-4-7	100.00%	60.37%	34.17%	1.6583	0.5707
5-4-8	100.00%	96.53%	84.23%	1.1590	0.5809
5-4-9	100.00%	99.25%	91.99%	1.0803	0.4488
5-5-1	100.00%	98.52%	98.52%	1.0074	0.9852
5-5-6	00.41%	00.41%	00.41%	0.0041	0.0041
5-5-8	100.00%	54.25%	45.57%	1.5443	0.5202
5-5-9	100.00%	96.72%	94.84%	1.0519	0.6171
5-6-1	100.00%	99.22%	91.84%	1.0818	0.4511
5-6-2	99.99%	75.80%	75.80%	1.1209	0.7580
5-6-3	100.00%	49.61%	49.61%	1.5039	0.4961
5-6-4	100.00%	99.57%	99.57%	1.0022	0.9956
5-6-5	100.00%	99.03%	99.03%	1.0048	0.9903
5-6-8	100.00%	63.06%	63.06%	1.3694	0.6306
5-7-1	100.00%	99.42%	99.42%	1.0029	0.9824
5-7-4	99.88%	34.63%	34.63%	1.6513	0.3463
5-7-7	100.00%	96.14%	96.14%	1.0389	0.9614
5-7-8	100.00%	52.40%	45.89%	1.5411	0.5102
5-7-10	100.00%	99.24%	99.24%	1.0038	0.9826
5-8-1	100.00%	99.55%	81.34%	1.0933	0.9583
5-8-2	100.00%	97.23%	92.47%	1.0379	0.5378
5-8-3	100.00%	99.40%	99.40%	1.0030	0.9940
5-8-7	100.00%	100.00%	100.00%	1.0000	0.9997
5-8-8	99.82%	99.82%	99.82%	0.9982	0.7486
5-8-9	100.00%	53.47%	42.12%	1.3580	0.4860
5-8-10	100.00%	100.00%	100.00%	1.0000	1.0000
5-9-1	100.00%	98.74%	85.99%	1.1423	0.5797
5-9-4	100.00%	99.72%	91.36%	1.0432	0.9687
5-9-5	00.25%	00.25%	00.25%	0.0025	0.0025
5-9-6	100.00%	96.19%	93.58%	1.0652	0.6375
5-9-7	100.00%	99.66%	99.66%	1.0017	0.7770
5-9-8	100.00%	98.80%	91.73%	1.0830	0.5922
5-9-9	100.00%	99.00%	66.46%	1.3364	0.8769
5-9-10	100.00%	98.99%	98.99%	1.0034	0.9899
5-10-1	100.00%	68.14%	21.94%	1.8366	0.6588
5-10-2	100.00%	93.09%	93.09%	1.0345	0.9300
5-10-3	100.00%	99.47%	99.47%	1.0018	0.9901
5-10-5	100.00%	98.75%	98.75%	1.0062	0.9874
5-10-7	100.00%	98.62%	84.88%	1.0756	0.6964
5-10-8	97.49%	97.45%	97.45%	0.9751	0.9745
6-3-5	100.00%	63.46%	63.46%	1.3654	0.6346
6-3-7	100.00%	96.20%	89.50%	1.1065	0.4861
6-3-9	100.00%	53.94%	53.94%	1.4606	0.5394
6-4-4	100.00%	97.90%	97.90%	1.0105	0.9790
6-4-5	100.00%	63.56%	63.56%	1.3644	0.6356
6-4-6	100.00%	99.50%	99.50%	1.0025	0.9950
6-4-9	100.00%	96.73%	94.90%	1.0513	0.6153
6-5-3	100.00%	96.36%	89.37%	1.1071	0.4923
6-5-4	100.00%	99.82%	99.82%	1.0009	0.9982
6-5-5	100.00%	98.75%	98.75%	1.0062	0.9875
6-5-6	100.00%	63.61%	63.61%	1.3639	0.6361
6-5-7	100.00%	49.96%	49.96%	1.5004	0.4996
6-5-8	100.00%	98.86%	98.86%	1.0114	0.9886
6-6-2	100.00%	96.38%	88.10%	1.1758	0.5975
6-6-4	100.00%	98.67%	98.67%	1.0067	0.9852
6-6-8	100.00%	99.29%	92.01%	1.0801	0.4491
6-7-2	100.00%	99.03%	99.03%	1.0049	0.9903
6-7-3	100.00%	67.81%	26.62%	1.7338	0.6476
6-7-5	100.00%	53.49%	48.68%	1.5543	0.5097
6-7-8	100.00%	99.28%	99.28%	1.0036	0.9926
6-8-6	100.00%	74.95%	74.95%	1.1252	0.7479
6-8-9	100.00%	90.23%	90.23%	1.0325	0.7515
6-8-10	100.00%	100.00%	100.00%	1.0000	0.5000
6-9-1	100.00%	100.00%	100.00%	1.0000	0.9999
6-9-4	100.00%	100.00%	100.00%	1.0000	1.0000
6-9-7	100.00%	98.87%	91.46%	1.0856	0.5987
6-10-2	100.00%	99.02%	99.02%	1.0049	0.9902
6-10-4	100.00%	96.54%	83.82%	1.1636	0.5871
7-3-2	100.00%	96.30%	91.29%	1.0882	0.5394
7-3-3	100.00%	96.61%	94.75%	1.0530	0.6159
7-3-4	100.00%	68.71%	68.71%	1.1564	0.6871
7-3-8	100.00%	63.48%	63.48%	1.3652	0.6348
7-3-9	100.00%	63.34%	63.34%	1.3666	0.6334
7-3-10	100.00%	96.69%	94.81%	1.0522	0.6172
7-4-6	100.00%	53.76%	49.04%	1.5501	0.5114
7-4-9	100.00%	63.56%	63.56%	1.3644	0.6356
7-4-10	100.00%	68.75%	68.75%	1.1562	0.6875
7-5-2	100.00%	96.48%	83.88%	1.1619	0.5854
7-5-5	100.00%	96.39%	89.36%	1.1075	0.4933
7-5-6	100.00%	96.65%	94.80%	1.0524	0.6156
7-6-1	100.00%	53.74%	49.05%	1.5493	0.5110
7-6-3	100.00%	99.57%	99.57%	1.0022	0.9956
7-6-6	100.00%	68.64%	68.64%	1.1567	0.6864
7-6-7	100.00%	96.44%	94.49%	1.0555	0.6178
7-6-9	100.00%	96.67%	94.78%	1.0527	0.6172
7-7-1	100.00%	98.75%	91.25%	1.0879	0.5996
7-7-5	100.00%	100.00%	100.00%	1.0000	1.0000
7-7-7	100.00%	64.99%	30.50%	1.6949	0.6157
7-8-8	100.00%	99.51%	99.51%	1.0024	0.9951
7-9-1	100.00%	99.23%	91.96%	1.0807	0.4490
7-10-6	100.00%	99.00%	99.00%	1.0050	0.9900
8-3-5	100.00%	63.37%	63.37%	1.3663	0.6337
8-3-6	100.00%	63.28%	63.28%	1.3672	0.6328
8-3-10	100.00%	63.45%	63.45%	1.3655	0.6345
8-4-1	100.00%	99.19%	92.03%	1.0799	0.4467
8-5-9	100.00%	63.16%	63.16%	1.3684	0.6316
8-6-2	100.00%	96.80%	94.95%	1.0510	0.6167
8-7-9	100.00%	96.36%	89.61%	1.1048	0.4875
8-8-8	100.00%	53.74%	53.74%	1.4626	0.5374
9-6-2	100.00%	96.70%	94.72%	1.0531	0.6204
9-6-5	100.00%	99.52%	99.52%	1.0024	0.9951
9-9-6	100.00%	63.44%	63.44%	1.3656	0.6343
10-3-2	100.00%	63.59%	63.59%	1.3641	0.6359
10-7-9	100.00%	63.46%	63.46%	1.3654	0.6346
10-7-10	100.00%	63.32%	63.32%	1.3668	0.6332
10-9-8	100.00%	53.84%	49.11%	1.5499	0.5122
