Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
5-4-2	100.00%	100.00%	100.00%	1.0000	0.9999
5-4-6	99.99%	99.99%	99.99%	1.0000	1.0000
5-4-7	100.00%	60.45%	34.39%	1.6561	0.7554
5-4-8	100.00%	100.00%	78.31%	1.2169	0.8455
5-4-9	100.00%	100.00%	82.72%	1.1728	0.7785
5-5-1	100.00%	100.00%	100.00%	1.0000	0.9998
5-5-6	00.39%	00.39%	00.39%	0.0039	0.0625
5-5-8	100.00%	54.55%	45.97%	1.5403	0.7228
5-5-9	100.00%	100.00%	95.92%	1.0408	0.8353
5-6-1	100.00%	100.00%	82.17%	1.1783	0.7830
5-6-2	100.00%	100.00%	100.00%	1.0000	1.0000
5-6-3	100.00%	49.71%	49.71%	1.5029	0.7051
5-6-4	100.00%	100.00%	100.00%	1.0000	0.9998
5-6-5	100.00%	100.00%	100.00%	1.0000	1.0000
5-6-8	100.00%	63.46%	63.46%	1.3654	0.7966
5-7-1	100.00%	100.00%	100.00%	1.0000	0.9930
5-7-4	99.88%	34.37%	34.37%	1.6539	0.5862
5-7-7	100.00%	100.00%	100.00%	1.0000	1.0000
5-7-8	100.00%	52.52%	45.95%	1.5405	0.7152
5-7-10	100.00%	100.00%	100.00%	1.0000	0.9952
5-8-1	100.00%	100.00%	80.08%	1.0996	0.9855
5-8-2	100.00%	100.00%	90.42%	1.0479	0.8017
5-8-3	100.00%	100.00%	100.00%	1.0000	0.9995
5-8-7	100.00%	100.00%	100.00%	1.0000	0.9997
5-8-8	99.84%	99.84%	99.84%	0.9984	0.8653
5-8-9	100.00%	100.00%	93.99%	1.0300	0.8589
5-8-10	100.00%	100.00%	100.00%	1.0000	1.0000
5-9-1	100.00%	100.00%	80.58%	1.1995	0.8112
5-9-4	100.00%	100.00%	90.65%	1.0467	0.9882
5-9-5	00.51%	00.51%	00.51%	0.0051	0.0712
5-9-6	100.00%	100.00%	93.92%	1.0608	0.8597
5-9-7	100.00%	100.00%	100.00%	1.0000	0.8819
5-9-8	100.00%	100.00%	84.54%	1.1546	0.8517
5-9-9	100.00%	100.00%	65.21%	1.3479	0.9478
5-9-10	100.00%	100.00%	100.00%	1.0000	0.9998
5-10-1	100.00%	68.17%	21.83%	1.8375	0.8121
5-10-2	100.00%	92.91%	92.91%	1.0354	0.9636
5-10-3	100.00%	100.00%	100.00%	1.0000	0.9969
5-10-5	100.00%	100.00%	100.00%	1.0000	0.9990
5-10-7	100.00%	98.66%	84.91%	1.0754	0.8348
5-10-8	97.45%	97.42%	97.42%	0.9747	0.9870
6-3-5	100.00%	63.70%	63.70%	1.3630	0.7981
6-3-7	100.00%	100.00%	86.38%	1.1362	0.7843
6-3-9	100.00%	53.48%	53.48%	1.4652	0.7313
6-4-4	100.00%	100.00%	100.00%	1.0000	0.9999
